['atla', 'kans', 'losa', 'salt']
=== Loading transfer function from file work/Internet2/atla.tf ===
=== Transfer function loaded from file work/Internet2/atla.tf ===
=== Loading transfer function from file work/Internet2/kans.tf ===
=== Transfer function loaded from file work/Internet2/kans.tf ===
=== Loading transfer function from file work/Internet2/losa.tf ===
=== Transfer function loaded from file work/Internet2/losa.tf ===
=== Loading transfer function from file work/Internet2/salt.tf ===
=== Transfer function loaded from file work/Internet2/salt.tf ===
=== Loading transfer function from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo167/backbone_topology.tf ===
=== Transfer function loaded from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo167/backbone_topology.tf ===
Total Rules: 34336
Total Links: 8
Total Length: 345
New Length: 138
Port:200042, Path No:0, Time: 0.000250s
Port:200042, Compressed Path No:0, Time: 0.000036s
Port:200044, Path No:0, Time: 0.000020s
Port:200044, Compressed Path No:0, Time: 0.000004s
Port:400024, Path No:0, Time: 0.000036s
Port:400024, Compressed Path No:0, Time: 0.000004s
Port:200013, Path No:0, Time: 0.000014s
Port:200013, Compressed Path No:0, Time: 0.000002s
Port:800031, Path No:0, Time: 0.000003s
Port:800031, Compressed Path No:0, Time: 0.000002s
Port:300028, Path No:0, Time: 0.000030s
Port:300028, Compressed Path No:0, Time: 0.000003s
Port:500029, Path No:0, Time: 0.000002s
Port:500029, Compressed Path No:0, Time: 0.000001s
Port:600021, Path No:0, Time: 0.000002s
Port:600021, Compressed Path No:0, Time: 0.000002s
Port:200045, Path No:0, Time: 0.000013s
Port:200045, Compressed Path No:0, Time: 0.000002s
Port:900013, Path No:0, Time: 0.000002s
Port:900013, Compressed Path No:0, Time: 0.000002s
Port:300024, Path No:0, Time: 0.000012s
Port:300024, Compressed Path No:0, Time: 0.000002s
Port:400025, Path No:0, Time: 0.000011s
Port:400025, Compressed Path No:0, Time: 0.000001s
Port:900020, Path No:0, Time: 0.000002s
Port:900020, Compressed Path No:0, Time: 0.000002s
Port:100024, Path No:7256, Time: 1.602045s
Port:100024, Compressed Path No:1814, Time: 0.030538s
Port:100007, Path No:3830, Time: 0.567614s
Port:100007, Compressed Path No:1915, Time: 0.012478s
Port:300013, Path No:0, Time: 0.000059s
Port:300013, Compressed Path No:0, Time: 0.000014s
Port:900004, Path No:0, Time: 0.000005s
Port:900004, Compressed Path No:0, Time: 0.000004s
Port:500033, Path No:0, Time: 0.000003s
Port:500033, Compressed Path No:0, Time: 0.000003s
Port:300004, Path No:0, Time: 0.000023s
Port:300004, Compressed Path No:0, Time: 0.000003s
Port:700007, Path No:0, Time: 0.000004s
Port:700007, Compressed Path No:0, Time: 0.000003s
Port:200038, Path No:0, Time: 0.000021s
Port:200038, Compressed Path No:0, Time: 0.000004s
Port:400027, Path No:0, Time: 0.000018s
Port:400027, Compressed Path No:0, Time: 0.000003s
Port:500022, Path No:0, Time: 0.000002s
Port:500022, Compressed Path No:0, Time: 0.000009s
Port:200034, Path No:0, Time: 0.000033s
Port:200034, Compressed Path No:0, Time: 0.000006s
Port:800011, Path No:0, Time: 0.000005s
Port:800011, Compressed Path No:0, Time: 0.000004s
Port:600030, Path No:0, Time: 0.000004s
Port:600030, Compressed Path No:0, Time: 0.000003s
Port:500009, Path No:0, Time: 0.000003s
Port:500009, Compressed Path No:0, Time: 0.000004s
Port:100019, Path No:133, Time: 0.361768s
Port:100019, Compressed Path No:133, Time: 0.000447s
Port:500028, Path No:0, Time: 0.000010s
Port:500028, Compressed Path No:0, Time: 0.000012s
Port:700018, Path No:0, Time: 0.000004s
Port:700018, Compressed Path No:0, Time: 0.000004s
Port:900031, Path No:0, Time: 0.000003s
Port:900031, Compressed Path No:0, Time: 0.000003s
Port:600015, Path No:0, Time: 0.000003s
Port:600015, Compressed Path No:0, Time: 0.000003s
Port:700022, Path No:0, Time: 0.000003s
Port:700022, Compressed Path No:0, Time: 0.000002s
Port:600018, Path No:0, Time: 0.000003s
Port:600018, Compressed Path No:0, Time: 0.000002s
Port:500011, Path No:0, Time: 0.000003s
Port:500011, Compressed Path No:0, Time: 0.000002s
Port:200028, Path No:0, Time: 0.000028s
Port:200028, Compressed Path No:0, Time: 0.000003s
Port:100026, Path No:1914, Time: 0.372669s
Port:100026, Compressed Path No:1914, Time: 0.003649s
Port:200009, Path No:0, Time: 0.000050s
Port:200009, Compressed Path No:0, Time: 0.000012s
Port:600019, Path No:0, Time: 0.000004s
Port:600019, Compressed Path No:0, Time: 0.000003s
Port:500015, Path No:0, Time: 0.000003s
Port:500015, Compressed Path No:0, Time: 0.000003s
Port:600001, Path No:0, Time: 0.000002s
Port:600001, Compressed Path No:0, Time: 0.000002s
Port:800029, Path No:0, Time: 0.000002s
Port:800029, Compressed Path No:0, Time: 0.000003s
Port:900025, Path No:0, Time: 0.000002s
Port:900025, Compressed Path No:0, Time: 0.000002s
Port:200003, Path No:0, Time: 0.000018s
Port:200003, Compressed Path No:0, Time: 0.000002s
