['atla', 'losa', 'newy32aoa', 'seat', 'wash']
=== Loading transfer function from file work/Internet2/atla.tf ===
=== Transfer function loaded from file work/Internet2/atla.tf ===
=== Loading transfer function from file work/Internet2/losa.tf ===
=== Transfer function loaded from file work/Internet2/losa.tf ===
=== Loading transfer function from file work/Internet2/newy32aoa.tf ===
=== Transfer function loaded from file work/Internet2/newy32aoa.tf ===
=== Loading transfer function from file work/Internet2/seat.tf ===
=== Transfer function loaded from file work/Internet2/seat.tf ===
=== Loading transfer function from file work/Internet2/wash.tf ===
=== Transfer function loaded from file work/Internet2/wash.tf ===
=== Loading transfer function from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo323/backbone_topology.tf ===
=== Transfer function loaded from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo323/backbone_topology.tf ===
Total Rules: 43548
Total Links: 14
Total Length: 345
New Length: 138
Port:300002, Path No:0, Time: 0.000235s
Port:300002, Compressed Path No:0, Time: 0.000040s
Port:400017, Path No:0, Time: 0.000052s
Port:400017, Compressed Path No:0, Time: 0.000016s
Port:400013, Path No:0, Time: 0.000018s
Port:400013, Compressed Path No:0, Time: 0.000003s
Port:200016, Path No:0, Time: 0.000050s
Port:200016, Compressed Path No:0, Time: 0.000004s
Port:100002, Path No:0, Time: 0.000029s
Port:100002, Compressed Path No:0, Time: 0.000004s
Port:700015, Path No:0, Time: 0.000003s
Port:700015, Compressed Path No:0, Time: 0.000003s
Port:100013, Path No:0, Time: 0.000016s
Port:100013, Compressed Path No:0, Time: 0.000002s
Port:400019, Path No:0, Time: 0.000015s
Port:400019, Compressed Path No:0, Time: 0.000002s
Port:700022, Path No:0, Time: 0.000003s
Port:700022, Compressed Path No:0, Time: 0.000002s
Port:800025, Path No:0, Time: 0.000002s
Port:800025, Compressed Path No:0, Time: 0.000003s
Port:400021, Path No:0, Time: 0.000024s
Port:400021, Compressed Path No:0, Time: 0.000003s
Port:900041, Path No:0, Time: 0.000002s
Port:900041, Compressed Path No:0, Time: 0.000003s
Port:900005, Path No:0, Time: 0.000002s
Port:900005, Compressed Path No:0, Time: 0.000002s
Port:200034, Path No:0, Time: 0.000014s
Port:200034, Compressed Path No:0, Time: 0.000003s
Port:700003, Path No:0, Time: 0.000002s
Port:700003, Compressed Path No:0, Time: 0.000002s
Port:100008, Path No:2019, Time: 0.491609s
Port:100008, Compressed Path No:2019, Time: 0.004030s
Port:700008, Path No:0, Time: 0.000013s
Port:700008, Compressed Path No:0, Time: 0.000015s
Port:400008, Path No:0, Time: 0.000043s
Port:400008, Compressed Path No:0, Time: 0.000005s
Port:700004, Path No:0, Time: 0.000005s
Port:700004, Compressed Path No:0, Time: 0.000005s
Port:400025, Path No:0, Time: 0.000065s
Port:400025, Compressed Path No:0, Time: 0.000005s
Port:500001, Path No:0, Time: 0.000025s
Port:500001, Compressed Path No:0, Time: 0.000004s
Port:100015, Path No:2021, Time: 0.570489s
Port:100015, Compressed Path No:2021, Time: 0.004115s
Port:900031, Path No:0, Time: 0.000010s
Port:900031, Compressed Path No:0, Time: 0.000013s
Port:900020, Path No:0, Time: 0.000004s
Port:900020, Compressed Path No:0, Time: 0.000004s
Port:200004, Path No:0, Time: 0.000032s
Port:200004, Compressed Path No:0, Time: 0.000003s
Port:500002, Path No:0, Time: 0.000019s
Port:500002, Compressed Path No:0, Time: 0.000003s
Port:800013, Path No:0, Time: 0.000003s
Port:800013, Compressed Path No:0, Time: 0.000003s
Port:100026, Path No:2020, Time: 0.430548s
Port:100026, Compressed Path No:2020, Time: 0.005470s
Port:400018, Path No:0, Time: 0.000000s
Port:400018, Compressed Path No:0, Time: 0.000028s
Port:700017, Path No:0, Time: 0.000015s
Port:700017, Compressed Path No:0, Time: 0.000006s
Port:800009, Path No:0, Time: 0.000005s
Port:800009, Compressed Path No:0, Time: 0.000005s
Port:100001, Path No:2019, Time: 0.698328s
Port:100001, Compressed Path No:2019, Time: 0.005331s
Port:700023, Path No:0, Time: 0.000030s
Port:700023, Compressed Path No:0, Time: 0.000027s
Port:800032, Path No:0, Time: 0.000010s
Port:800032, Compressed Path No:0, Time: 0.000006s
Port:200027, Path No:0, Time: 0.000037s
Port:200027, Compressed Path No:0, Time: 0.000003s
Port:500031, Path No:0, Time: 0.000000s
Port:500031, Compressed Path No:0, Time: 0.000000s
Port:500032, Path No:0, Time: 0.000000s
Port:500032, Compressed Path No:0, Time: 0.000003s
Port:200029, Path No:0, Time: 0.000015s
Port:200029, Compressed Path No:0, Time: 0.000002s
Port:900014, Path No:0, Time: 0.000003s
Port:900014, Compressed Path No:0, Time: 0.000002s
Port:600018, Path No:0, Time: 0.000003s
Port:600018, Compressed Path No:0, Time: 0.000002s
Port:300015, Path No:0, Time: 0.000014s
Port:300015, Compressed Path No:0, Time: 0.000003s
Port:500027, Path No:0, Time: 0.000012s
Port:500027, Compressed Path No:0, Time: 0.000002s
Port:400016, Path No:0, Time: 0.000012s
Port:400016, Compressed Path No:0, Time: 0.000003s
Port:300016, Path No:0, Time: 0.000010s
Port:300016, Compressed Path No:0, Time: 0.000002s
Port:800019, Path No:0, Time: 0.000001s
Port:800019, Compressed Path No:0, Time: 0.000002s
Port:200002, Path No:0, Time: 0.000012s
Port:200002, Compressed Path No:0, Time: 0.000002s
Port:600019, Path No:0, Time: 0.000002s
Port:600019, Compressed Path No:0, Time: 0.000002s
Port:800034, Path No:0, Time: 0.000001s
Port:800034, Compressed Path No:0, Time: 0.000002s
Port:900037, Path No:0, Time: 0.000002s
Port:900037, Compressed Path No:0, Time: 0.000002s
Port:200010, Path No:0, Time: 0.000013s
Port:200010, Compressed Path No:0, Time: 0.000007s
Port:200044, Path No:0, Time: 0.000023s
Port:200044, Compressed Path No:0, Time: 0.000003s
Port:200011, Path No:0, Time: 0.000014s
Port:200011, Compressed Path No:0, Time: 0.000003s
Port:900026, Path No:0, Time: 0.000002s
Port:900026, Compressed Path No:0, Time: 0.000002s
Port:400009, Path No:0, Time: 0.000015s
Port:400009, Compressed Path No:0, Time: 0.000003s
Port:300049, Path No:0, Time: 0.000013s
Port:300049, Compressed Path No:0, Time: 0.000002s
Port:200045, Path No:0, Time: 0.000011s
Port:200045, Compressed Path No:0, Time: 0.000002s
Port:800028, Path No:0, Time: 0.000003s
Port:800028, Compressed Path No:0, Time: 0.000002s
Port:800036, Path No:0, Time: 0.000001s
Port:800036, Compressed Path No:0, Time: 0.000002s
Port:200005, Path No:0, Time: 0.000011s
Port:200005, Compressed Path No:0, Time: 0.000002s
Port:800015, Path No:0, Time: 0.000002s
Port:800015, Compressed Path No:0, Time: 0.000002s
Port:600037, Path No:0, Time: 0.000002s
Port:600037, Compressed Path No:0, Time: 0.000002s
