['atla', 'kans', 'salt', 'wash']
=== Loading transfer function from file work/Internet2/atla.tf ===
=== Transfer function loaded from file work/Internet2/atla.tf ===
=== Loading transfer function from file work/Internet2/kans.tf ===
=== Transfer function loaded from file work/Internet2/kans.tf ===
=== Loading transfer function from file work/Internet2/salt.tf ===
=== Transfer function loaded from file work/Internet2/salt.tf ===
=== Loading transfer function from file work/Internet2/wash.tf ===
=== Transfer function loaded from file work/Internet2/wash.tf ===
=== Loading transfer function from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo174/backbone_topology.tf ===
=== Transfer function loaded from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo174/backbone_topology.tf ===
Total Rules: 34781
Total Links: 10
Total Length: 345
New Length: 138
Port:200018, Path No:0, Time: 0.000170s
Port:200018, Compressed Path No:0, Time: 0.000039s
Port:800015, Path No:0, Time: 0.000005s
Port:800015, Compressed Path No:0, Time: 0.000004s
Port:900005, Path No:0, Time: 0.000004s
Port:900005, Compressed Path No:0, Time: 0.000003s
Port:300005, Path No:0, Time: 0.000053s
Port:300005, Compressed Path No:0, Time: 0.000005s
Port:100018, Path No:101, Time: 0.603931s
Port:100018, Compressed Path No:101, Time: 0.000344s
Port:500014, Path No:0, Time: 0.000008s
Port:500014, Compressed Path No:0, Time: 0.000010s
Port:600034, Path No:0, Time: 0.000003s
Port:600034, Compressed Path No:0, Time: 0.000003s
Port:500004, Path No:0, Time: 0.000003s
Port:500004, Compressed Path No:0, Time: 0.000002s
Port:300026, Path No:0, Time: 0.000025s
Port:300026, Compressed Path No:0, Time: 0.000002s
Port:800027, Path No:0, Time: 0.000001s
Port:800027, Compressed Path No:0, Time: 0.000003s
Port:900038, Path No:0, Time: 0.000002s
Port:900038, Compressed Path No:0, Time: 0.000002s
Port:500027, Path No:0, Time: 0.000001s
Port:500027, Compressed Path No:0, Time: 0.000002s
Port:600023, Path No:0, Time: 0.000002s
Port:600023, Compressed Path No:0, Time: 0.000002s
Port:400009, Path No:0, Time: 0.000014s
Port:400009, Compressed Path No:0, Time: 0.000002s
Port:200013, Path No:0, Time: 0.000012s
Port:200013, Compressed Path No:0, Time: 0.000002s
Port:500024, Path No:0, Time: 0.000002s
Port:500024, Compressed Path No:0, Time: 0.000002s
Port:600027, Path No:0, Time: 0.000002s
Port:600027, Compressed Path No:0, Time: 0.000002s
Port:300046, Path No:0, Time: 0.000011s
Port:300046, Compressed Path No:0, Time: 0.000002s
Port:200030, Path No:0, Time: 0.000010s
Port:200030, Compressed Path No:0, Time: 0.000002s
Port:400030, Path No:0, Time: 0.000010s
Port:400030, Compressed Path No:0, Time: 0.000002s
Port:200039, Path No:0, Time: 0.000010s
Port:200039, Compressed Path No:0, Time: 0.000002s
Port:800034, Path No:0, Time: 0.000002s
Port:800034, Compressed Path No:0, Time: 0.000001s
Port:500003, Path No:0, Time: 0.000002s
Port:500003, Compressed Path No:0, Time: 0.000002s
Port:500001, Path No:0, Time: 0.000002s
Port:500001, Compressed Path No:0, Time: 0.000002s
Port:200043, Path No:0, Time: 0.000011s
Port:200043, Compressed Path No:0, Time: 0.000002s
Port:600014, Path No:0, Time: 0.000001s
Port:600014, Compressed Path No:0, Time: 0.000002s
Port:200047, Path No:0, Time: 0.000011s
Port:200047, Compressed Path No:0, Time: 0.000002s
Port:900042, Path No:0, Time: 0.000002s
Port:900042, Compressed Path No:0, Time: 0.000002s
Port:400012, Path No:0, Time: 0.000010s
Port:400012, Compressed Path No:0, Time: 0.000002s
Port:200014, Path No:0, Time: 0.000010s
Port:200014, Compressed Path No:0, Time: 0.000002s
Port:900033, Path No:0, Time: 0.000002s
Port:900033, Compressed Path No:0, Time: 0.000002s
Port:300016, Path No:0, Time: 0.000010s
Port:300016, Compressed Path No:0, Time: 0.000002s
Port:300050, Path No:0, Time: 0.000010s
Port:300050, Compressed Path No:0, Time: 0.000001s
Port:600012, Path No:0, Time: 0.000002s
Port:600012, Compressed Path No:0, Time: 0.000002s
Port:900025, Path No:0, Time: 0.000001s
Port:900025, Compressed Path No:0, Time: 0.000001s
Port:500021, Path No:0, Time: 0.000003s
Port:500021, Compressed Path No:0, Time: 0.000003s
Port:900036, Path No:0, Time: 0.000001s
Port:900036, Compressed Path No:0, Time: 0.000001s
Port:400003, Path No:0, Time: 0.000013s
Port:400003, Compressed Path No:0, Time: 0.000002s
Port:500020, Path No:0, Time: 0.000002s
Port:500020, Compressed Path No:0, Time: 0.000002s
Port:700011, Path No:0, Time: 0.000001s
Port:700011, Compressed Path No:0, Time: 0.000002s
Port:500028, Path No:0, Time: 0.000002s
Port:500028, Compressed Path No:0, Time: 0.000002s
Port:800012, Path No:0, Time: 0.000002s
