['atla', 'salt', 'seat']
=== Loading transfer function from file work/Internet2/atla.tf ===
=== Transfer function loaded from file work/Internet2/atla.tf ===
=== Loading transfer function from file work/Internet2/salt.tf ===
=== Transfer function loaded from file work/Internet2/salt.tf ===
=== Loading transfer function from file work/Internet2/seat.tf ===
=== Transfer function loaded from file work/Internet2/seat.tf ===
=== Loading transfer function from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo71/backbone_topology.tf ===
=== Transfer function loaded from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo71/backbone_topology.tf ===
Total Rules: 25635
Total Links: 4
Total Length: 345
New Length: 138
Port:400008, Path No:0, Time: 0.000038s
Port:400008, Compressed Path No:0, Time: 0.000029s
Port:600033, Path No:0, Time: 0.000004s
Port:600033, Compressed Path No:0, Time: 0.000004s
Port:400013, Path No:0, Time: 0.000003s
Port:400013, Compressed Path No:0, Time: 0.000003s
Port:600028, Path No:0, Time: 0.000002s
Port:600028, Compressed Path No:0, Time: 0.000003s
Port:300017, Path No:0, Time: 0.000075s
Port:300017, Compressed Path No:0, Time: 0.000003s
Port:900038, Path No:0, Time: 0.000002s
Port:900038, Compressed Path No:0, Time: 0.000002s
Port:900030, Path No:0, Time: 0.000001s
Port:900030, Compressed Path No:0, Time: 0.000002s
Port:500011, Path No:0, Time: 0.000002s
Port:500011, Compressed Path No:0, Time: 0.000002s
Port:400009, Path No:0, Time: 0.000001s
Port:400009, Compressed Path No:0, Time: 0.000002s
Port:700005, Path No:0, Time: 0.000002s
Port:700005, Compressed Path No:0, Time: 0.000002s
Port:600003, Path No:0, Time: 0.000002s
Port:600003, Compressed Path No:0, Time: 0.000001s
Port:200042, Path No:0, Time: 0.000033s
Port:200042, Compressed Path No:0, Time: 0.000003s
Port:800001, Path No:0, Time: 0.000001s
Port:800001, Compressed Path No:0, Time: 0.000002s
Port:300041, Path No:0, Time: 0.000012s
Port:300041, Compressed Path No:0, Time: 0.000002s
Port:100009, Path No:1784, Time: 0.339962s
Port:100009, Compressed Path No:1784, Time: 0.003475s
Port:800018, Path No:0, Time: 0.000011s
Port:800018, Compressed Path No:0, Time: 0.000012s
Port:600019, Path No:0, Time: 0.000005s
Port:600019, Compressed Path No:0, Time: 0.000004s
Port:100032, Path No:3572, Time: 0.734766s
Port:100032, Compressed Path No:1786, Time: 0.009999s
Port:200043, Path No:0, Time: 0.000038s
Port:200043, Compressed Path No:0, Time: 0.000010s
Port:300045, Path No:0, Time: 0.000017s
Port:300045, Compressed Path No:0, Time: 0.000003s
Port:600018, Path No:0, Time: 0.000003s
Port:600018, Compressed Path No:0, Time: 0.000003s
Port:200017, Path No:0, Time: 0.000013s
Port:200017, Compressed Path No:0, Time: 0.000002s
Port:300005, Path No:0, Time: 0.000012s
Port:300005, Compressed Path No:0, Time: 0.000002s
Port:400010, Path No:0, Time: 0.000002s
Port:400010, Compressed Path No:0, Time: 0.000002s
Port:200016, Path No:0, Time: 0.000011s
Port:200016, Compressed Path No:0, Time: 0.000002s
Port:900016, Path No:0, Time: 0.000003s
Port:900016, Compressed Path No:0, Time: 0.000002s
Port:400003, Path No:0, Time: 0.000002s
Port:400003, Compressed Path No:0, Time: 0.000002s
Port:300034, Path No:0, Time: 0.000012s
Port:300034, Compressed Path No:0, Time: 0.000002s
Port:800012, Path No:0, Time: 0.000002s
Port:800012, Compressed Path No:0, Time: 0.000002s
Port:300050, Path No:0, Time: 0.000011s
Port:300050, Compressed Path No:0, Time: 0.000002s
Port:500013, Path No:0, Time: 0.000002s
Port:500013, Compressed Path No:0, Time: 0.000002s
Port:900036, Path No:0, Time: 0.000002s
Port:900036, Compressed Path No:0, Time: 0.000002s
Port:300049, Path No:0, Time: 0.000012s
Port:300049, Compressed Path No:0, Time: 0.000002s
Port:300010, Path No:0, Time: 0.000011s
Port:300010, Compressed Path No:0, Time: 0.000002s
Port:700017, Path No:0, Time: 0.000002s
Port:700017, Compressed Path No:0, Time: 0.000002s
Port:200029, Path No:0, Time: 0.000014s
Port:200029, Compressed Path No:0, Time: 0.000002s
Port:700004, Path No:0, Time: 0.000002s
Port:700004, Compressed Path No:0, Time: 0.000002s
Port:100002, Path No:0, Time: 0.000013s
Port:100002, Compressed Path No:0, Time: 0.000002s
Port:400026, Path No:0, Time: 0.000002s
Port:400026, Compressed Path No:0, Time: 0.000002s
Port:900023, Path No:0, Time: 0.000002s
Port:900023, Compressed Path No:0, Time: 0.000001s
Port:600031, Path No:0, Time: 0.000002s
Port:600031, Compressed Path No:0, Time: 0.000002s
Port:600025, Path No:0, Time: 0.000002s
Port:600025, Compressed Path No:0, Time: 0.000002s
Port:300037, Path No:0, Time: 0.000012s
Port:300037, Compressed Path No:0, Time: 0.000001s
Port:700018, Path No:0, Time: 0.000001s
Port:700018, Compressed Path No:0, Time: 0.000001s
Port:800016, Path No:0, Time: 0.000002s
Port:800016, Compressed Path No:0, Time: 0.000002s
Port:600037, Path No:0, Time: 0.000002s
Port:600037, Compressed Path No:0, Time: 0.000002s
Port:400007, Path No:0, Time: 0.000002s
Port:400007, Compressed Path No:0, Time: 0.000002s
Port:200012, Path No:0, Time: 0.000012s
Port:200012, Compressed Path No:0, Time: 0.000002s
Port:100020, Path No:3572, Time: 0.635657s
Port:100020, Compressed Path No:1786, Time: 0.009726s
Port:500006, Path No:0, Time: 0.000011s
Port:500006, Compressed Path No:0, Time: 0.000013s
Port:300028, Path No:0, Time: 0.000047s
Port:300028, Compressed Path No:0, Time: 0.000007s
Port:500030, Path No:0, Time: 0.000004s
Port:500030, Compressed Path No:0, Time: 0.000004s
Port:200037, Path No:0, Time: 0.000020s
Port:200037, Compressed Path No:0, Time: 0.000003s
Port:900039, Path No:0, Time: 0.000003s
Port:900039, Compressed Path No:0, Time: 0.000003s
Port:600034, Path No:0, Time: 0.000002s
Port:600034, Compressed Path No:0, Time: 0.000002s
Port:900021, Path No:0, Time: 0.000002s
Port:900021, Compressed Path No:0, Time: 0.000002s
Port:800002, Path No:0, Time: 0.000002s
Port:800002, Compressed Path No:0, Time: 0.000002s
Port:800022, Path No:0, Time: 0.000003s
Port:800022, Compressed Path No:0, Time: 0.000002s
Port:700002, Path No:0, Time: 0.000002s
Port:700002, Compressed Path No:0, Time: 0.000002s
Port:200041, Path No:0, Time: 0.000016s
Port:200041, Compressed Path No:0, Time: 0.000002s
Port:200001, Path No:0, Time: 0.000014s
Port:200001, Compressed Path No:0, Time: 0.000003s
Port:600026, Path No:0, Time: 0.000003s
Port:600026, Compressed Path No:0, Time: 0.000002s
Port:700010, Path No:0, Time: 0.000002s
Port:700010, Compressed Path No:0, Time: 0.000003s
Port:400014, Path No:0, Time: 0.000002s
Port:400014, Compressed Path No:0, Time: 0.000002s
Port:500020, Path No:0, Time: 0.000002s
Port:500020, Compressed Path No:0, Time: 0.000003s
Port:900044, Path No:0, Time: 0.000003s
Port:900044, Compressed Path No:0, Time: 0.000003s
Port:800019, Path No:0, Time: 0.000002s
Port:800019, Compressed Path No:0, Time: 0.000002s
Port:200013, Path No:0, Time: 0.000015s
Port:200013, Compressed Path No:0, Time: 0.000002s
Port:600035, Path No:0, Time: 0.000002s
Port:600035, Compressed Path No:0, Time: 0.000003s
Port:900028, Path No:0, Time: 0.000003s
Port:900028, Compressed Path No:0, Time: 0.000002s
Port:300003, Path No:0, Time: 0.000020s
Port:300003, Compressed Path No:0, Time: 0.000004s
Port:900003, Path No:0, Time: 0.000003s
Port:900003, Compressed Path No:0, Time: 0.000002s
Port:500024, Path No:0, Time: 0.000002s
Port:500024, Compressed Path No:0, Time: 0.000003s
Port:900040, Path No:0, Time: 0.000002s
Port:900040, Compressed Path No:0, Time: 0.000002s
Port:600014, Path No:0, Time: 0.000002s
Port:600014, Compressed Path No:0, Time: 0.000003s
Port:700023, Path No:0, Time: 0.000002s
Port:700023, Compressed Path No:0, Time: 0.000002s
Port:700014, Path No:0, Time: 0.000002s
Port:700014, Compressed Path No:0, Time: 0.000002s
Port:900041, Path No:0, Time: 0.000002s
Port:900041, Compressed Path No:0, Time: 0.000002s
Port:100012, Path No:0, Time: 0.000017s
Port:100012, Compressed Path No:0, Time: 0.000003s
Port:600030, Path No:0, Time: 0.000003s
Port:600030, Compressed Path No:0, Time: 0.000002s
Port:300007, Path No:0, Time: 0.000014s
Port:300007, Compressed Path No:0, Time: 0.000003s
Port:600001, Path No:0, Time: 0.000002s
Port:600001, Compressed Path No:0, Time: 0.000002s
Port:500021, Path No:0, Time: 0.000002s
Port:500021, Compressed Path No:0, Time: 0.000003s
Port:400022, Path No:0, Time: 0.000002s
Port:400022, Compressed Path No:0, Time: 0.000002s
Port:700007, Path No:0, Time: 0.000003s
Port:700007, Compressed Path No:0, Time: 0.000002s
Port:900006, Path No:0, Time: 0.000003s
Port:900006, Compressed Path No:0, Time: 0.000004s
Port:300014, Path No:0, Time: 0.000018s
Port:300014, Compressed Path No:0, Time: 0.000003s
Port:500023, Path No:0, Time: 0.000003s
Port:500023, Compressed Path No:0, Time: 0.000002s
Port:200018, Path No:0, Time: 0.000015s
Port:200018, Compressed Path No:0, Time: 0.000003s
Port:200024, Path No:0, Time: 0.000014s
Port:200024, Compressed Path No:0, Time: 0.000000s
Port:900046, Path No:0, Time: 0.000003s
Port:900046, Compressed Path No:0, Time: 0.000002s
Port:500015, Path No:0, Time: 0.000002s
Port:500015, Compressed Path No:0, Time: 0.000003s
Port:300038, Path No:0, Time: 0.000013s
Port:300038, Compressed Path No:0, Time: 0.000003s
Port:900043, Path No:0, Time: 0.000002s
Port:900043, Compressed Path No:0, Time: 0.000002s
Port:800008, Path No:0, Time: 0.000002s
Port:800008, Compressed Path No:0, Time: 0.000002s
Port:100019, Path No:4, Time: 0.317642s
Port:100019, Compressed Path No:4, Time: 0.000035s
Port:800035, Path No:0, Time: 0.000010s
Port:800035, Compressed Path No:0, Time: 0.000010s
Port:800030, Path No:0, Time: 0.000006s
Port:800030, Compressed Path No:0, Time: 0.000005s
Port:600007, Path No:0, Time: 0.000005s
Port:600007, Compressed Path No:0, Time: 0.000004s
Port:200022, Path No:0, Time: 0.000034s
Port:200022, Compressed Path No:0, Time: 0.000005s
Port:200023, Path No:0, Time: 0.000074s
Port:200023, Compressed Path No:0, Time: 0.000006s
Port:400027, Path No:0, Time: 0.000003s
Port:400027, Compressed Path No:0, Time: 0.000003s
Port:400029, Path No:0, Time: 0.000003s
