['atla', 'chic']
=== Loading transfer function from file work/Internet2/atla.tf ===
=== Transfer function loaded from file work/Internet2/atla.tf ===
=== Loading transfer function from file work/Internet2/chic.tf ===
=== Transfer function loaded from file work/Internet2/chic.tf ===
=== Loading transfer function from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo10/backbone_topology.tf ===
=== Transfer function loaded from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo10/backbone_topology.tf ===
Total Rules: 17504
Total Links: 4
Total Length: 345
New Length: 241
Port:900039, Path No:0, Time: 0.000049s
Port:900039, Compressed Path No:0, Time: 0.000035s
Port:900041, Path No:0, Time: 0.000004s
Port:900041, Compressed Path No:0, Time: 0.000005s
Port:800003, Path No:0, Time: 0.000003s
Port:800003, Compressed Path No:0, Time: 0.000003s
Port:700024, Path No:0, Time: 0.000002s
Port:700024, Compressed Path No:0, Time: 0.000002s
Port:600011, Path No:0, Time: 0.000003s
Port:600011, Compressed Path No:0, Time: 0.000003s
Port:300040, Path No:0, Time: 0.000002s
Port:300040, Compressed Path No:0, Time: 0.000002s
Port:400029, Path No:0, Time: 0.000002s
Port:400029, Compressed Path No:0, Time: 0.000003s
Port:500003, Path No:0, Time: 0.000002s
Port:500003, Compressed Path No:0, Time: 0.000002s
Port:200023, Path No:13488, Time: 0.990797s
Port:200023, Compressed Path No:6744, Time: 0.046364s
Port:900034, Path No:0, Time: 0.000015s
Port:900034, Compressed Path No:0, Time: 0.000015s
Port:200034, Path No:0, Time: 0.000040s
Port:200034, Compressed Path No:0, Time: 0.000006s
Port:400022, Path No:0, Time: 0.000005s
Port:400022, Compressed Path No:0, Time: 0.000005s
Port:800031, Path No:0, Time: 0.000003s
Port:800031, Compressed Path No:0, Time: 0.000004s
Port:900038, Path No:0, Time: 0.000003s
Port:900038, Compressed Path No:0, Time: 0.000003s
Port:800007, Path No:0, Time: 0.000002s
Port:800007, Compressed Path No:0, Time: 0.000003s
Port:900018, Path No:0, Time: 0.000003s
Port:900018, Compressed Path No:0, Time: 0.000003s
Port:200006, Path No:0, Time: 0.000023s
Port:200006, Compressed Path No:0, Time: 0.000004s
Port:200017, Path No:20742, Time: 1.366912s
Port:200017, Compressed Path No:6914, Time: 0.083602s
Port:200047, Path No:20742, Time: 1.605749s
Port:200047, Compressed Path No:6914, Time: 0.084225s
Port:800022, Path No:0, Time: 0.000021s
Port:800022, Compressed Path No:0, Time: 0.000012s
Port:700004, Path No:0, Time: 0.000004s
Port:700004, Compressed Path No:0, Time: 0.000003s
Port:300038, Path No:0, Time: 0.000003s
Port:300038, Compressed Path No:0, Time: 0.000003s
Port:500007, Path No:0, Time: 0.000003s
Port:500007, Compressed Path No:0, Time: 0.000002s
Port:200003, Path No:6913, Time: 0.365138s
Port:200003, Compressed Path No:6913, Time: 0.015488s
Port:500009, Path No:0, Time: 0.000054s
Port:500009, Compressed Path No:0, Time: 0.000014s
Port:600005, Path No:0, Time: 0.000004s
Port:600005, Compressed Path No:0, Time: 0.000005s
Port:700014, Path No:0, Time: 0.000004s
Port:700014, Compressed Path No:0, Time: 0.000004s
Port:200004, Path No:6913, Time: 0.391437s
Port:200004, Compressed Path No:6913, Time: 0.014984s
Port:200016, Path No:0, Time: 0.000047s
Port:200016, Compressed Path No:0, Time: 0.000012s
Port:200009, Path No:13828, Time: 0.761494s
Port:200009, Compressed Path No:6914, Time: 0.047207s
Port:600009, Path No:0, Time: 0.000014s
Port:600009, Compressed Path No:0, Time: 0.000015s
Port:300019, Path No:0, Time: 0.000006s
Port:300019, Compressed Path No:0, Time: 0.000005s
Port:100012, Path No:0, Time: 0.000037s
Port:100012, Compressed Path No:0, Time: 0.000006s
Port:100032, Path No:8324, Time: 2.038914s
Port:100032, Compressed Path No:4157, Time: 0.032928s
Port:300029, Path No:0, Time: 0.000012s
Port:300029, Compressed Path No:0, Time: 0.000013s
Port:900033, Path No:0, Time: 0.000005s
Port:900033, Compressed Path No:0, Time: 0.000005s
Port:200031, Path No:6914, Time: 0.376402s
Port:200031, Compressed Path No:6914, Time: 0.015489s
Port:300028, Path No:0, Time: 0.000339s
Port:300028, Compressed Path No:0, Time: 0.000016s
Port:800008, Path No:0, Time: 0.000006s
Port:800008, Compressed Path No:0, Time: 0.000006s
Port:400026, Path No:0, Time: 0.000005s
Port:400026, Compressed Path No:0, Time: 0.000004s
Port:900043, Path No:0, Time: 0.000004s
Port:900043, Compressed Path No:0, Time: 0.000004s
Port:700007, Path No:0, Time: 0.000003s
Port:700007, Compressed Path No:0, Time: 0.000004s
Port:500021, Path No:0, Time: 0.000004s
Port:500021, Compressed Path No:0, Time: 0.000004s
Port:200029, Path No:41454, Time: 2.611659s
Port:200029, Compressed Path No:6909, Time: 0.194599s
