['newy32aoa', 'salt', 'seat']
=== Loading transfer function from file work/Internet2/newy32aoa.tf ===
=== Transfer function loaded from file work/Internet2/newy32aoa.tf ===
=== Loading transfer function from file work/Internet2/salt.tf ===
=== Transfer function loaded from file work/Internet2/salt.tf ===
=== Loading transfer function from file work/Internet2/seat.tf ===
=== Transfer function loaded from file work/Internet2/seat.tf ===
=== Loading transfer function from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo126/backbone_topology.tf ===
=== Transfer function loaded from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo126/backbone_topology.tf ===
Total Rules: 25765
Total Links: 4
Total Length: 345
New Length: 241
Port:200045, Path No:0, Time: 0.000190s
Port:200045, Compressed Path No:0, Time: 0.000032s
Port:100025, Path No:0, Time: 0.000031s
Port:100025, Compressed Path No:0, Time: 0.000005s
Port:900034, Path No:0, Time: 0.000004s
Port:900034, Compressed Path No:0, Time: 0.000003s
Port:400022, Path No:0, Time: 0.000002s
Port:400022, Compressed Path No:0, Time: 0.000003s
Port:400008, Path No:0, Time: 0.000002s
Port:400008, Compressed Path No:0, Time: 0.000001s
Port:200030, Path No:0, Time: 0.000014s
Port:200030, Compressed Path No:0, Time: 0.000002s
Port:200018, Path No:0, Time: 0.000010s
Port:200018, Compressed Path No:0, Time: 0.000002s
Port:300016, Path No:0, Time: 0.000025s
Port:300016, Compressed Path No:0, Time: 0.000003s
Port:700013, Path No:0, Time: 0.000002s
Port:700013, Compressed Path No:0, Time: 0.000002s
Port:300025, Path No:0, Time: 0.000011s
Port:300025, Compressed Path No:0, Time: 0.000002s
Port:700017, Path No:0, Time: 0.000002s
Port:700017, Compressed Path No:0, Time: 0.000002s
Port:600037, Path No:0, Time: 0.000002s
Port:600037, Compressed Path No:0, Time: 0.000001s
Port:500011, Path No:0, Time: 0.000002s
Port:500011, Compressed Path No:0, Time: 0.000001s
Port:300021, Path No:0, Time: 0.000010s
Port:300021, Compressed Path No:0, Time: 0.000002s
Port:100013, Path No:0, Time: 0.000011s
Port:100013, Compressed Path No:0, Time: 0.000002s
Port:400009, Path No:0, Time: 0.000002s
Port:400009, Compressed Path No:0, Time: 0.000002s
Port:100020, Path No:0, Time: 0.000010s
Port:100020, Compressed Path No:0, Time: 0.000002s
Port:600023, Path No:0, Time: 0.000002s
Port:600023, Compressed Path No:0, Time: 0.000002s
Port:100028, Path No:0, Time: 0.000010s
Port:100028, Compressed Path No:0, Time: 0.000001s
Port:700002, Path No:0, Time: 0.000002s
Port:700002, Compressed Path No:0, Time: 0.000002s
Port:200036, Path No:0, Time: 0.000010s
Port:200036, Compressed Path No:0, Time: 0.000002s
Port:900015, Path No:0, Time: 0.000001s
Port:900015, Compressed Path No:0, Time: 0.000002s
Port:700023, Path No:0, Time: 0.000002s
Port:700023, Compressed Path No:0, Time: 0.000002s
Port:200037, Path No:0, Time: 0.000010s
Port:200037, Compressed Path No:0, Time: 0.000002s
Port:500013, Path No:0, Time: 0.000002s
Port:500013, Compressed Path No:0, Time: 0.000002s
Port:900050, Path No:0, Time: 0.000003s
Port:900050, Compressed Path No:0, Time: 0.000004s
Port:200021, Path No:0, Time: 0.000016s
Port:200021, Compressed Path No:0, Time: 0.000003s
Port:600002, Path No:0, Time: 0.000002s
Port:600002, Compressed Path No:0, Time: 0.000002s
Port:300006, Path No:0, Time: 0.000013s
Port:300006, Compressed Path No:0, Time: 0.000002s
Port:400017, Path No:0, Time: 0.000002s
Port:400017, Compressed Path No:0, Time: 0.000002s
Port:100001, Path No:0, Time: 0.000011s
Port:100001, Compressed Path No:0, Time: 0.000002s
Port:600034, Path No:0, Time: 0.000002s
Port:600034, Compressed Path No:0, Time: 0.000002s
Port:300035, Path No:0, Time: 0.000011s
Port:300035, Compressed Path No:0, Time: 0.000002s
Port:200032, Path No:0, Time: 0.000010s
Port:200032, Compressed Path No:0, Time: 0.000002s
Port:800004, Path No:0, Time: 0.000002s
Port:800004, Compressed Path No:0, Time: 0.000002s
Port:600014, Path No:0, Time: 0.000002s
Port:600014, Compressed Path No:0, Time: 0.000003s
Port:900009, Path No:0, Time: 0.000002s
Port:900009, Compressed Path No:0, Time: 0.000001s
Port:400014, Path No:0, Time: 0.000002s
Port:400014, Compressed Path No:0, Time: 0.000001s
Port:300045, Path No:0, Time: 0.000013s
Port:300045, Compressed Path No:0, Time: 0.000001s
Port:500012, Path No:0, Time: 0.000002s
Port:500012, Compressed Path No:0, Time: 0.000001s
Port:300002, Path No:0, Time: 0.000010s
Port:300002, Compressed Path No:0, Time: 0.000001s
Port:100009, Path No:0, Time: 0.000010s
Port:100009, Compressed Path No:0, Time: 0.000002s
Port:400032, Path No:0, Time: 0.000002s
Port:400032, Compressed Path No:0, Time: 0.000002s
Port:900043, Path No:0, Time: 0.000001s
Port:900043, Compressed Path No:0, Time: 0.000001s
Port:100003, Path No:0, Time: 0.000010s
Port:100003, Compressed Path No:0, Time: 0.000002s
Port:800005, Path No:0, Time: 0.000001s
Port:800005, Compressed Path No:0, Time: 0.000003s
Port:600031, Path No:0, Time: 0.000001s
Port:600031, Compressed Path No:0, Time: 0.000002s
Port:300012, Path No:0, Time: 0.000011s
Port:300012, Compressed Path No:0, Time: 0.000002s
Port:100015, Path No:0, Time: 0.000011s
Port:100015, Compressed Path No:0, Time: 0.000002s
Port:200034, Path No:0, Time: 0.000010s
Port:200034, Compressed Path No:0, Time: 0.000002s
Port:400007, Path No:0, Time: 0.000001s
Port:400007, Compressed Path No:0, Time: 0.000002s
Port:400012, Path No:0, Time: 0.000002s
Port:400012, Compressed Path No:0, Time: 0.000001s
Port:200039, Path No:0, Time: 0.000020s
Port:200039, Compressed Path No:0, Time: 0.000002s
Port:800026, Path No:0, Time: 0.000001s
Port:800026, Compressed Path No:0, Time: 0.000002s
Port:400002, Path No:0, Time: 0.000002s
Port:400002, Compressed Path No:0, Time: 0.000001s
Port:600028, Path No:0, Time: 0.000002s
Port:600028, Compressed Path No:0, Time: 0.000001s
Port:300037, Path No:0, Time: 0.000012s
Port:300037, Compressed Path No:0, Time: 0.000002s
Port:400020, Path No:0, Time: 0.000002s
Port:400020, Compressed Path No:0, Time: 0.000002s
Port:200042, Path No:0, Time: 0.000011s
Port:200042, Compressed Path No:0, Time: 0.000002s
Port:300046, Path No:0, Time: 0.000010s
Port:300046, Compressed Path No:0, Time: 0.000002s
Port:300048, Path No:0, Time: 0.000010s
Port:300048, Compressed Path No:0, Time: 0.000002s
Port:800034, Path No:0, Time: 0.000003s
Port:800034, Compressed Path No:0, Time: 0.000004s
Port:500001, Path No:0, Time: 0.000002s
Port:500001, Compressed Path No:0, Time: 0.000001s
Port:900036, Path No:0, Time: 0.000002s
Port:900036, Compressed Path No:0, Time: 0.000002s
Port:800015, Path No:0, Time: 0.000002s
Port:800015, Compressed Path No:0, Time: 0.000001s
Port:600015, Path No:0, Time: 0.000002s
Port:600015, Compressed Path No:0, Time: 0.000002s
Port:200022, Path No:0, Time: 0.000013s
Port:200022, Compressed Path No:0, Time: 0.000002s
Port:800008, Path No:0, Time: 0.000002s
Port:800008, Compressed Path No:0, Time: 0.000002s
Port:900004, Path No:0, Time: 0.000002s
Port:900004, Compressed Path No:0, Time: 0.000002s
Port:300010, Path No:0, Time: 0.000012s
Port:300010, Compressed Path No:0, Time: 0.000005s
Port:600036, Path No:0, Time: 0.000002s
Port:600036, Compressed Path No:0, Time: 0.000002s
Port:100022, Path No:0, Time: 0.000013s
Port:100022, Compressed Path No:0, Time: 0.000002s
Port:500019, Path No:0, Time: 0.000002s
Port:500019, Compressed Path No:0, Time: 0.000001s
Port:700004, Path No:0, Time: 0.000002s
Port:700004, Compressed Path No:0, Time: 0.000002s
Port:500023, Path No:0, Time: 0.000001s
Port:500023, Compressed Path No:0, Time: 0.000002s
Port:200006, Path No:0, Time: 0.000012s
Port:200006, Compressed Path No:0, Time: 0.000002s
Port:400004, Path No:0, Time: 0.000001s
Port:400004, Compressed Path No:0, Time: 0.000001s
Port:900019, Path No:0, Time: 0.000002s
Port:900019, Compressed Path No:0, Time: 0.000001s
Port:400005, Path No:0, Time: 0.000002s
Port:400005, Compressed Path No:0, Time: 0.000001s
Port:800017, Path No:0, Time: 0.000002s
Port:800017, Compressed Path No:0, Time: 0.000001s
Port:300040, Path No:0, Time: 0.000011s
Port:300040, Compressed Path No:0, Time: 0.000002s
Port:200003, Path No:0, Time: 0.000010s
Port:200003, Compressed Path No:0, Time: 0.000001s
Port:800030, Path No:0, Time: 0.000002s
Port:800030, Compressed Path No:0, Time: 0.000002s
Port:200044, Path No:0, Time: 0.000011s
Port:200044, Compressed Path No:0, Time: 0.000002s
Port:700006, Path No:0, Time: 0.000002s
Port:700006, Compressed Path No:0, Time: 0.000001s
Port:800012, Path No:0, Time: 0.000002s
Port:800012, Compressed Path No:0, Time: 0.000001s
Port:900041, Path No:0, Time: 0.000002s
Port:900041, Compressed Path No:0, Time: 0.000002s
Port:900020, Path No:0, Time: 0.000002s
Port:900020, Compressed Path No:0, Time: 0.000002s
Port:600029, Path No:0, Time: 0.000002s
Port:600029, Compressed Path No:0, Time: 0.000001s
