['atla', 'chic', 'newy32aoa', 'wash']
=== Loading transfer function from file work/Internet2/atla.tf ===
=== Transfer function loaded from file work/Internet2/atla.tf ===
=== Loading transfer function from file work/Internet2/chic.tf ===
=== Transfer function loaded from file work/Internet2/chic.tf ===
=== Loading transfer function from file work/Internet2/newy32aoa.tf ===
=== Transfer function loaded from file work/Internet2/newy32aoa.tf ===
=== Loading transfer function from file work/Internet2/wash.tf ===
=== Transfer function loaded from file work/Internet2/wash.tf ===
=== Loading transfer function from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo147/backbone_topology.tf ===
=== Transfer function loaded from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo147/backbone_topology.tf ===
Total Rules: 35340
Total Links: 22
Total Length: 345
New Length: 241
Port:500003, Path No:0, Time: 0.000047s
Port:500003, Compressed Path No:0, Time: 0.000038s
Port:700009, Path No:0, Time: 0.000004s
Port:700009, Compressed Path No:0, Time: 0.000004s
Port:300050, Path No:0, Time: 0.000104s
Port:300050, Compressed Path No:0, Time: 0.000005s
Port:600031, Path No:0, Time: 0.000003s
Port:600031, Compressed Path No:0, Time: 0.000003s
Port:500011, Path No:0, Time: 0.000003s
Port:500011, Compressed Path No:0, Time: 0.000002s
Port:600019, Path No:0, Time: 0.000002s
Port:600019, Compressed Path No:0, Time: 0.000002s
Port:500012, Path No:0, Time: 0.000002s
Port:500012, Compressed Path No:0, Time: 0.000002s
Port:700016, Path No:0, Time: 0.000002s
Port:700016, Compressed Path No:0, Time: 0.000002s
Port:300015, Path No:0, Time: 0.000014s
Port:300015, Compressed Path No:0, Time: 0.000002s
Port:300002, Path No:0, Time: 0.000011s
Port:300002, Compressed Path No:0, Time: 0.000002s
Port:100004, Path No:10565, Time: 1.351435s
Port:100004, Compressed Path No:9734, Time: 0.032286s
Port:100029, Path No:0, Time: 0.000060s
Port:100029, Compressed Path No:0, Time: 0.000016s
Port:800036, Path No:0, Time: 0.000006s
Port:800036, Compressed Path No:0, Time: 0.000005s
Port:300019, Path No:0, Time: 0.000030s
Port:300019, Compressed Path No:0, Time: 0.000005s
Port:200047, Path No:24879, Time: 1.918014s
Port:200047, Compressed Path No:8293, Time: 0.102751s
Port:400001, Path No:0, Time: 0.000058s
Port:400001, Compressed Path No:0, Time: 0.000015s
Port:300005, Path No:0, Time: 0.000031s
Port:300005, Compressed Path No:0, Time: 0.000005s
Port:100019, Path No:8785, Time: 1.152678s
Port:100019, Compressed Path No:7926, Time: 0.027384s
Port:900044, Path No:0, Time: 0.000014s
Port:900044, Compressed Path No:0, Time: 0.000015s
Port:400025, Path No:0, Time: 0.000044s
Port:400025, Compressed Path No:0, Time: 0.000006s
Port:400019, Path No:0, Time: 0.000025s
Port:400019, Compressed Path No:0, Time: 0.000005s
Port:700001, Path No:0, Time: 0.000003s
Port:700001, Compressed Path No:0, Time: 0.000004s
Port:200046, Path No:24879, Time: 2.180892s
Port:200046, Compressed Path No:8293, Time: 0.102312s
Port:300041, Path No:0, Time: 0.000058s
Port:300041, Compressed Path No:0, Time: 0.000015s
Port:200019, Path No:16582, Time: 1.034975s
Port:200019, Compressed Path No:8291, Time: 0.061331s
Port:800020, Path No:0, Time: 0.000013s
Port:800020, Compressed Path No:0, Time: 0.000015s
Port:100022, Path No:31584, Time: 4.108795s
Port:100022, Compressed Path No:9695, Time: 0.147578s
Port:100006, Path No:0, Time: 0.000060s
Port:100006, Compressed Path No:0, Time: 0.000016s
Port:600007, Path No:0, Time: 0.000006s
Port:600007, Compressed Path No:0, Time: 0.000005s
Port:300007, Path No:0, Time: 0.000031s
Port:300007, Compressed Path No:0, Time: 0.000005s
Port:700015, Path No:0, Time: 0.000004s
Port:700015, Compressed Path No:0, Time: 0.000003s
Port:300016, Path No:0, Time: 0.000022s
Port:300016, Compressed Path No:0, Time: 0.000004s
Port:600020, Path No:0, Time: 0.000004s
Port:600020, Compressed Path No:0, Time: 0.000004s
Port:200009, Path No:16586, Time: 1.067479s
Port:200009, Compressed Path No:8293, Time: 0.061215s
Port:300033, Path No:0, Time: 0.000058s
Port:300033, Compressed Path No:0, Time: 0.000015s
Port:900012, Path No:0, Time: 0.000005s
Port:900012, Compressed Path No:0, Time: 0.000004s
Port:400020, Path No:0, Time: 0.000025s
Port:400020, Compressed Path No:0, Time: 0.000003s
Port:600011, Path No:0, Time: 0.000004s
Port:600011, Compressed Path No:0, Time: 0.000003s
Port:600038, Path No:0, Time: 0.000003s
Port:600038, Compressed Path No:0, Time: 0.000003s
Port:900049, Path No:0, Time: 0.000002s
Port:900049, Compressed Path No:0, Time: 0.000003s
Port:500018, Path No:0, Time: 0.000002s
Port:500018, Compressed Path No:0, Time: 0.000003s
Port:500007, Path No:0, Time: 0.000003s
Port:500007, Compressed Path No:0, Time: 0.000002s
Port:800003, Path No:0, Time: 0.000002s
Port:800003, Compressed Path No:0, Time: 0.000004s
Port:200037, Path No:8279, Time: 0.499657s
Port:200037, Compressed Path No:8279, Time: 0.018958s
Port:100017, Path No:10566, Time: 1.251752s
Port:100017, Compressed Path No:9693, Time: 0.032429s
Port:900017, Path No:0, Time: 0.000011s
Port:900017, Compressed Path No:0, Time: 0.000014s
Port:800011, Path No:0, Time: 0.000006s
Port:800011, Compressed Path No:0, Time: 0.000006s
Port:100030, Path No:11646, Time: 2.303406s
Port:100030, Compressed Path No:4967, Time: 0.045511s
Port:800005, Path No:0, Time: 0.000011s
Port:800005, Compressed Path No:0, Time: 0.000014s
Port:400007, Path No:0, Time: 0.000037s
Port:400007, Compressed Path No:0, Time: 0.000004s
Port:200041, Path No:16586, Time: 1.223698s
Port:200041, Compressed Path No:8293, Time: 0.062447s
Port:600030, Path No:0, Time: 0.000013s
Port:600030, Compressed Path No:0, Time: 0.000016s
Port:700019, Path No:0, Time: 0.000007s
Port:700019, Compressed Path No:0, Time: 0.000005s
Port:900034, Path No:0, Time: 0.000003s
Port:900034, Compressed Path No:0, Time: 0.000002s
Port:100031, Path No:126420, Time: 14.848305s
Port:100031, Compressed Path No:9650, Time: 0.768534s
Port:200013, Path No:0, Time: 0.000064s
Port:200013, Compressed Path No:0, Time: 0.000016s
Port:200043, Path No:8291, Time: 0.323357s
Port:200043, Compressed Path No:8291, Time: 0.018607s
Port:500022, Path No:0, Time: 0.000042s
Port:500022, Compressed Path No:0, Time: 0.000018s
Port:100024, Path No:41864, Time: 5.044549s
Port:100024, Compressed Path No:9606, Time: 0.206167s
Port:900006, Path No:0, Time: 0.000013s
Port:900006, Compressed Path No:0, Time: 0.000015s
Port:100005, Path No:0, Time: 0.000040s
Port:100005, Compressed Path No:0, Time: 0.000005s
Port:600010, Path No:0, Time: 0.000005s
Port:600010, Compressed Path No:0, Time: 0.000006s
Port:300021, Path No:0, Time: 0.000028s
Port:300021, Compressed Path No:0, Time: 0.000005s
Port:900047, Path No:0, Time: 0.000003s
Port:900047, Compressed Path No:0, Time: 0.000003s
Port:400021, Path No:0, Time: 0.000020s
Port:400021, Compressed Path No:0, Time: 0.000003s
Port:900013, Path No:0, Time: 0.000003s
Port:900013, Compressed Path No:0, Time: 0.000002s
Port:800014, Path No:0, Time: 0.000002s
Port:800014, Compressed Path No:0, Time: 0.000003s
