['atla', 'kans', 'losa', 'salt']
=== Loading transfer function from file work/Internet2/atla.tf ===
=== Transfer function loaded from file work/Internet2/atla.tf ===
=== Loading transfer function from file work/Internet2/kans.tf ===
=== Transfer function loaded from file work/Internet2/kans.tf ===
=== Loading transfer function from file work/Internet2/losa.tf ===
=== Transfer function loaded from file work/Internet2/losa.tf ===
=== Loading transfer function from file work/Internet2/salt.tf ===
=== Transfer function loaded from file work/Internet2/salt.tf ===
=== Loading transfer function from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo167/backbone_topology.tf ===
=== Transfer function loaded from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo167/backbone_topology.tf ===
Total Rules: 34336
Total Links: 8
Total Length: 345
New Length: 241
Port:100007, Path No:7944, Time: 0.751449s
Port:100007, Compressed Path No:3972, Time: 0.027518s
Port:900038, Path No:0, Time: 0.000010s
Port:900038, Compressed Path No:0, Time: 0.000012s
Port:800010, Path No:0, Time: 0.000004s
Port:800010, Compressed Path No:0, Time: 0.000003s
Port:300041, Path No:0, Time: 0.000038s
Port:300041, Compressed Path No:0, Time: 0.000000s
Port:700005, Path No:0, Time: 0.000000s
Port:700005, Compressed Path No:0, Time: 0.000000s
Port:500017, Path No:0, Time: 0.000000s
Port:500017, Compressed Path No:0, Time: 0.000000s
Port:500003, Path No:0, Time: 0.000000s
Port:500003, Compressed Path No:0, Time: 0.000000s
Port:100015, Path No:3972, Time: 0.325937s
Port:100015, Compressed Path No:3972, Time: 0.008454s
Port:600001, Path No:0, Time: 0.000011s
Port:600001, Compressed Path No:0, Time: 0.000014s
Port:300021, Path No:0, Time: 0.000034s
Port:300021, Compressed Path No:0, Time: 0.000003s
Port:300023, Path No:0, Time: 0.000016s
Port:300023, Compressed Path No:0, Time: 0.000003s
Port:300048, Path No:0, Time: 0.000014s
Port:300048, Compressed Path No:0, Time: 0.000003s
Port:500032, Path No:0, Time: 0.000003s
Port:500032, Compressed Path No:0, Time: 0.000002s
Port:900013, Path No:0, Time: 0.000002s
Port:900013, Compressed Path No:0, Time: 0.000002s
Port:200044, Path No:0, Time: 0.000015s
Port:200044, Compressed Path No:0, Time: 0.000003s
Port:300030, Path No:0, Time: 0.000012s
Port:300030, Compressed Path No:0, Time: 0.000002s
Port:900049, Path No:0, Time: 0.000003s
Port:900049, Compressed Path No:0, Time: 0.000002s
Port:800013, Path No:0, Time: 0.000002s
Port:800013, Compressed Path No:0, Time: 0.000002s
Port:300019, Path No:0, Time: 0.000013s
Port:300019, Compressed Path No:0, Time: 0.000002s
Port:900003, Path No:0, Time: 0.000002s
Port:900003, Compressed Path No:0, Time: 0.000002s
Port:800027, Path No:0, Time: 0.000002s
Port:800027, Compressed Path No:0, Time: 0.000002s
Port:700010, Path No:0, Time: 0.000002s
Port:700010, Compressed Path No:0, Time: 0.000001s
Port:700024, Path No:0, Time: 0.000002s
Port:700024, Compressed Path No:0, Time: 0.000002s
Port:500033, Path No:0, Time: 0.000001s
Port:500033, Compressed Path No:0, Time: 0.000002s
Port:600017, Path No:0, Time: 0.000002s
Port:600017, Compressed Path No:0, Time: 0.000002s
Port:700008, Path No:0, Time: 0.000001s
Port:700008, Compressed Path No:0, Time: 0.000001s
Port:200010, Path No:0, Time: 0.000012s
Port:200010, Compressed Path No:0, Time: 0.000002s
Port:100014, Path No:0, Time: 0.000013s
Port:100014, Compressed Path No:0, Time: 0.000002s
Port:400031, Path No:0, Time: 0.000012s
Port:400031, Compressed Path No:0, Time: 0.000002s
Port:800037, Path No:0, Time: 0.000002s
Port:800037, Compressed Path No:0, Time: 0.000002s
Port:400030, Path No:0, Time: 0.000011s
Port:400030, Compressed Path No:0, Time: 0.000002s
Port:800033, Path No:0, Time: 0.000001s
Port:800033, Compressed Path No:0, Time: 0.000002s
Port:400019, Path No:0, Time: 0.000010s
Port:400019, Compressed Path No:0, Time: 0.000002s
Port:400017, Path No:0, Time: 0.000010s
Port:400017, Compressed Path No:0, Time: 0.000002s
Port:800034, Path No:0, Time: 0.000002s
Port:800034, Compressed Path No:0, Time: 0.000001s
Port:300034, Path No:0, Time: 0.000076s
Port:300034, Compressed Path No:0, Time: 0.000004s
Port:700019, Path No:0, Time: 0.000003s
Port:700019, Compressed Path No:0, Time: 0.000003s
Port:800018, Path No:0, Time: 0.000002s
Port:800018, Compressed Path No:0, Time: 0.000002s
Port:300040, Path No:0, Time: 0.000014s
Port:300040, Compressed Path No:0, Time: 0.000002s
Port:900030, Path No:0, Time: 0.000002s
Port:900030, Compressed Path No:0, Time: 0.000002s
Port:100001, Path No:3970, Time: 0.341819s
Port:100001, Compressed Path No:3970, Time: 0.007963s
Port:100018, Path No:3971, Time: 0.476435s
Port:100018, Compressed Path No:3971, Time: 0.009145s
Port:900040, Path No:0, Time: 0.000011s
Port:900040, Compressed Path No:0, Time: 0.000012s
Port:300035, Path No:0, Time: 0.000035s
Port:300035, Compressed Path No:0, Time: 0.000004s
Port:800008, Path No:0, Time: 0.000003s
Port:800008, Compressed Path No:0, Time: 0.000003s
Port:100010, Path No:3972, Time: 0.362674s
Port:100010, Compressed Path No:3972, Time: 0.008196s
Port:800031, Path No:0, Time: 0.000011s
Port:800031, Compressed Path No:0, Time: 0.000014s
Port:200016, Path No:0, Time: 0.000036s
Port:200016, Compressed Path No:0, Time: 0.000017s
Port:200040, Path No:0, Time: 0.000025s
Port:200040, Compressed Path No:0, Time: 0.000004s
Port:800016, Path No:0, Time: 0.000004s
Port:800016, Compressed Path No:0, Time: 0.000002s
Port:300042, Path No:0, Time: 0.000019s
Port:300042, Compressed Path No:0, Time: 0.000003s
Port:200009, Path No:0, Time: 0.000015s
Port:200009, Compressed Path No:0, Time: 0.000003s
Port:900006, Path No:0, Time: 0.000002s
Port:900006, Compressed Path No:0, Time: 0.000002s
Port:900001, Path No:0, Time: 0.000002s
Port:900001, Compressed Path No:0, Time: 0.000002s
Port:300012, Path No:0, Time: 0.000013s
Port:300012, Compressed Path No:0, Time: 0.000002s
Port:300024, Path No:0, Time: 0.000011s
Port:300024, Compressed Path No:0, Time: 0.000002s
Port:800020, Path No:0, Time: 0.000004s
Port:800020, Compressed Path No:0, Time: 0.000005s
Port:800009, Path No:0, Time: 0.000004s
Port:800009, Compressed Path No:0, Time: 0.000002s
Port:100033, Path No:3969, Time: 0.352714s
Port:100033, Compressed Path No:3969, Time: 0.008278s
Port:800014, Path No:0, Time: 0.000013s
