['atla', 'seat', 'wash']
=== Loading transfer function from file work/Internet2/atla.tf ===
=== Transfer function loaded from file work/Internet2/atla.tf ===
=== Loading transfer function from file work/Internet2/seat.tf ===
=== Transfer function loaded from file work/Internet2/seat.tf ===
=== Loading transfer function from file work/Internet2/wash.tf ===
=== Transfer function loaded from file work/Internet2/wash.tf ===
=== Loading transfer function from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo73/backbone_topology.tf ===
=== Transfer function loaded from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo73/backbone_topology.tf ===
Total Rules: 26157
Total Links: 6
Total Length: 345
New Length: 241
Port:100024, Path No:34460, Time: 1.846802s
Port:100024, Compressed Path No:8615, Time: 0.153663s
Port:500001, Path No:0, Time: 0.000013s
Port:500001, Compressed Path No:0, Time: 0.000013s
Port:800033, Path No:0, Time: 0.000006s
Port:800033, Compressed Path No:0, Time: 0.000006s
Port:700018, Path No:0, Time: 0.000005s
Port:700018, Compressed Path No:0, Time: 0.000003s
Port:800007, Path No:0, Time: 0.000004s
Port:800007, Compressed Path No:0, Time: 0.000004s
Port:800018, Path No:0, Time: 0.000003s
Port:800018, Compressed Path No:0, Time: 0.000003s
Port:600027, Path No:0, Time: 0.000003s
Port:600027, Compressed Path No:0, Time: 0.000003s
Port:300001, Path No:0, Time: 0.000031s
Port:300001, Compressed Path No:0, Time: 0.000003s
Port:800005, Path No:0, Time: 0.000003s
Port:800005, Compressed Path No:0, Time: 0.000003s
Port:700015, Path No:0, Time: 0.000002s
Port:700015, Compressed Path No:0, Time: 0.000003s
Port:700016, Path No:0, Time: 0.000003s
Port:700016, Compressed Path No:0, Time: 0.000002s
Port:800011, Path No:0, Time: 0.000002s
Port:800011, Compressed Path No:0, Time: 0.000002s
Port:900008, Path No:0, Time: 0.000002s
Port:900008, Compressed Path No:0, Time: 0.000002s
Port:800022, Path No:0, Time: 0.000002s
Port:800022, Compressed Path No:0, Time: 0.000002s
Port:500013, Path No:0, Time: 0.000003s
Port:500013, Compressed Path No:0, Time: 0.000003s
Port:900001, Path No:0, Time: 0.000002s
Port:900001, Compressed Path No:0, Time: 0.000002s
Port:900029, Path No:0, Time: 0.000002s
Port:900029, Compressed Path No:0, Time: 0.000003s
Port:600002, Path No:0, Time: 0.000002s
Port:600002, Compressed Path No:0, Time: 0.000002s
Port:200048, Path No:0, Time: 0.000016s
Port:200048, Compressed Path No:0, Time: 0.000002s
Port:800037, Path No:0, Time: 0.000002s
Port:800037, Compressed Path No:0, Time: 0.000002s
Port:500033, Path No:0, Time: 0.000002s
Port:500033, Compressed Path No:0, Time: 0.000002s
Port:100012, Path No:0, Time: 0.000014s
Port:100012, Compressed Path No:0, Time: 0.000002s
Port:300014, Path No:0, Time: 0.000012s
Port:300014, Compressed Path No:0, Time: 0.000002s
Port:200002, Path No:0, Time: 0.000011s
Port:200002, Compressed Path No:0, Time: 0.000002s
Port:600030, Path No:0, Time: 0.000002s
Port:600030, Compressed Path No:0, Time: 0.000002s
Port:300048, Path No:0, Time: 0.000011s
Port:300048, Compressed Path No:0, Time: 0.000001s
Port:300047, Path No:0, Time: 0.000011s
Port:300047, Compressed Path No:0, Time: 0.000002s
Port:200035, Path No:0, Time: 0.000011s
Port:200035, Compressed Path No:0, Time: 0.000002s
Port:500027, Path No:0, Time: 0.000002s
Port:500027, Compressed Path No:0, Time: 0.000002s
Port:100011, Path No:0, Time: 0.000011s
Port:100011, Compressed Path No:0, Time: 0.000002s
Port:900020, Path No:0, Time: 0.000002s
Port:900020, Compressed Path No:0, Time: 0.000002s
Port:900042, Path No:0, Time: 0.000002s
Port:900042, Compressed Path No:0, Time: 0.000002s
Port:400004, Path No:0, Time: 0.000002s
Port:400004, Compressed Path No:0, Time: 0.000002s
Port:100020, Path No:17432, Time: 0.819388s
Port:100020, Compressed Path No:8716, Time: 0.059237s
Port:900031, Path No:0, Time: 0.000013s
Port:900031, Compressed Path No:0, Time: 0.000001s
Port:600035, Path No:0, Time: 0.000006s
Port:600035, Compressed Path No:0, Time: 0.000005s
Port:400023, Path No:0, Time: 0.000005s
Port:400023, Compressed Path No:0, Time: 0.000004s
Port:400008, Path No:0, Time: 0.000004s
Port:400008, Compressed Path No:0, Time: 0.000004s
Port:900027, Path No:0, Time: 0.000003s
Port:900027, Compressed Path No:0, Time: 0.000004s
Port:700001, Path No:0, Time: 0.000004s
Port:700001, Compressed Path No:0, Time: 0.000004s
Port:200025, Path No:0, Time: 0.000107s
Port:200025, Compressed Path No:0, Time: 0.000009s
Port:300044, Path No:0, Time: 0.000031s
Port:300044, Compressed Path No:0, Time: 0.000005s
Port:600031, Path No:0, Time: 0.000004s
Port:600031, Compressed Path No:0, Time: 0.000003s
Port:100010, Path No:8716, Time: 0.445572s
Port:100010, Compressed Path No:8716, Time: 0.020530s
Port:400005, Path No:0, Time: 0.000010s
Port:400005, Compressed Path No:0, Time: 0.000012s
Port:300024, Path No:0, Time: 0.000035s
Port:300024, Compressed Path No:0, Time: 0.000004s
Port:800015, Path No:0, Time: 0.000003s
Port:800015, Compressed Path No:0, Time: 0.000003s
Port:400024, Path No:0, Time: 0.000003s
Port:400024, Compressed Path No:0, Time: 0.000003s
Port:900041, Path No:0, Time: 0.000003s
Port:900041, Compressed Path No:0, Time: 0.000002s
Port:600016, Path No:0, Time: 0.000003s
Port:600016, Compressed Path No:0, Time: 0.000003s
Port:200007, Path No:0, Time: 0.000021s
Port:200007, Compressed Path No:0, Time: 0.000003s
Port:600022, Path No:0, Time: 0.000003s
Port:600022, Compressed Path No:0, Time: 0.000003s
Port:200037, Path No:0, Time: 0.000017s
Port:200037, Compressed Path No:0, Time: 0.000003s
Port:600010, Path No:0, Time: 0.000002s
Port:600010, Compressed Path No:0, Time: 0.000002s
Port:200015, Path No:0, Time: 0.000013s
Port:200015, Compressed Path No:0, Time: 0.000002s
Port:100033, Path No:8713, Time: 0.459869s
Port:100033, Compressed Path No:8713, Time: 0.020640s
Port:900013, Path No:0, Time: 0.000013s
Port:900013, Compressed Path No:0, Time: 0.000011s
Port:100008, Path No:8714, Time: 0.440325s
Port:100008, Compressed Path No:8714, Time: 0.019709s
Port:500032, Path No:0, Time: 0.000035s
Port:500032, Compressed Path No:0, Time: 0.000015s
Port:100014, Path No:0, Time: 0.000037s
Port:100014, Compressed Path No:0, Time: 0.000004s
Port:400014, Path No:0, Time: 0.000005s
Port:400014, Compressed Path No:0, Time: 0.000013s
Port:400010, Path No:0, Time: 0.000004s
Port:400010, Compressed Path No:0, Time: 0.000004s
Port:300017, Path No:0, Time: 0.000021s
Port:300017, Compressed Path No:0, Time: 0.000003s
Port:200046, Path No:0, Time: 0.000017s
Port:200046, Compressed Path No:0, Time: 0.000003s
Port:900037, Path No:0, Time: 0.000003s
Port:900037, Compressed Path No:0, Time: 0.000002s
Port:900014, Path No:0, Time: 0.000002s
Port:900014, Compressed Path No:0, Time: 0.000002s
Port:900038, Path No:0, Time: 0.000002s
Port:900038, Compressed Path No:0, Time: 0.000002s
Port:900005, Path No:0, Time: 0.000001s
Port:900005, Compressed Path No:0, Time: 0.000003s
Port:700021, Path No:0, Time: 0.000002s
Port:700021, Compressed Path No:0, Time: 0.000003s
Port:600011, Path No:0, Time: 0.000001s
Port:600011, Compressed Path No:0, Time: 0.000002s
Port:600006, Path No:0, Time: 0.000002s
Port:600006, Compressed Path No:0, Time: 0.000002s
Port:200006, Path No:0, Time: 0.000014s
Port:200006, Compressed Path No:0, Time: 0.000002s
Port:900044, Path No:0, Time: 0.000002s
Port:900044, Compressed Path No:0, Time: 0.000002s
Port:300009, Path No:0, Time: 0.000012s
Port:300009, Compressed Path No:0, Time: 0.000002s
Port:700008, Path No:0, Time: 0.000002s
Port:700008, Compressed Path No:0, Time: 0.000002s
Port:900015, Path No:0, Time: 0.000002s
Port:900015, Compressed Path No:0, Time: 0.000002s
Port:800014, Path No:0, Time: 0.000002s
Port:800014, Compressed Path No:0, Time: 0.000002s
Port:600012, Path No:0, Time: 0.000002s
Port:600012, Compressed Path No:0, Time: 0.000001s
Port:500008, Path No:0, Time: 0.000001s
Port:500008, Compressed Path No:0, Time: 0.000002s
Port:800027, Path No:0, Time: 0.000002s
Port:800027, Compressed Path No:0, Time: 0.000002s
Port:700006, Path No:0, Time: 0.000002s
Port:700006, Compressed Path No:0, Time: 0.000002s
Port:800021, Path No:0, Time: 0.000002s
Port:800021, Compressed Path No:0, Time: 0.000001s
Port:900035, Path No:0, Time: 0.000001s
Port:900035, Compressed Path No:0, Time: 0.000002s
Port:500021, Path No:0, Time: 0.000001s
Port:500021, Compressed Path No:0, Time: 0.000002s
Port:500031, Path No:0, Time: 0.000001s
Port:500031, Compressed Path No:0, Time: 0.000002s
Port:700011, Path No:0, Time: 0.000002s
Port:700011, Compressed Path No:0, Time: 0.000002s
Port:100021, Path No:6802, Time: 0.448072s
Port:100021, Compressed Path No:6802, Time: 0.017151s
Port:200047, Path No:0, Time: 0.000055s
Port:200047, Compressed Path No:0, Time: 0.000015s
Port:800006, Path No:0, Time: 0.000008s
Port:800006, Compressed Path No:0, Time: 0.000005s
Port:300010, Path No:0, Time: 0.000033s
Port:300010, Compressed Path No:0, Time: 0.000005s
Port:300043, Path No:0, Time: 0.000018s
Port:300043, Compressed Path No:0, Time: 0.000004s
Port:200021, Path No:0, Time: 0.000016s
Port:200021, Compressed Path No:0, Time: 0.000003s
Port:200011, Path No:0, Time: 0.000015s
Port:200011, Compressed Path No:0, Time: 0.000003s
Port:100019, Path No:6934, Time: 0.316019s
Port:100019, Compressed Path No:6934, Time: 0.014490s
Port:500010, Path No:0, Time: 0.000011s
Port:500010, Compressed Path No:0, Time: 0.000015s
Port:600009, Path No:0, Time: 0.000007s
Port:600009, Compressed Path No:0, Time: 0.000009s
Port:200008, Path No:0, Time: 0.000034s
Port:200008, Compressed Path No:0, Time: 0.000004s
Port:200039, Path No:0, Time: 0.000018s
Port:200039, Compressed Path No:0, Time: 0.000004s
Port:800034, Path No:0, Time: 0.000003s
Port:800034, Compressed Path No:0, Time: 0.000003s
Port:500029, Path No:0, Time: 0.000002s
Port:500029, Compressed Path No:0, Time: 0.000006s
Port:600038, Path No:0, Time: 0.000004s
Port:600038, Compressed Path No:0, Time: 0.000004s
Port:500006, Path No:0, Time: 0.000003s
Port:500006, Compressed Path No:0, Time: 0.000003s
Port:100027, Path No:25872, Time: 1.329273s
