['atla', 'chic']
=== Loading transfer function from file work/Internet2/atla.tf ===
=== Transfer function loaded from file work/Internet2/atla.tf ===
=== Loading transfer function from file work/Internet2/chic.tf ===
=== Transfer function loaded from file work/Internet2/chic.tf ===
=== Loading transfer function from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo10/backbone_topology.tf ===
=== Transfer function loaded from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo10/backbone_topology.tf ===
Total Rules: 17504
Total Links: 4
Total Length: 345
New Length: 138
Port:900011, Path No:0, Time: 0.000055s
Port:900011, Compressed Path No:0, Time: 0.000048s
Port:200037, Path No:4138, Time: 0.502863s
Port:200037, Compressed Path No:4080, Time: 0.012620s
Port:800033, Path No:0, Time: 0.000012s
Port:800033, Compressed Path No:0, Time: 0.000014s
Port:400016, Path No:0, Time: 0.000005s
Port:400016, Compressed Path No:0, Time: 0.000004s
Port:600014, Path No:0, Time: 0.000003s
Port:600014, Compressed Path No:0, Time: 0.000004s
Port:200030, Path No:8068, Time: 0.940746s
Port:200030, Compressed Path No:3990, Time: 0.032085s
Port:600007, Path No:0, Time: 0.000034s
Port:600007, Compressed Path No:0, Time: 0.000014s
Port:900023, Path No:0, Time: 0.000005s
Port:900023, Compressed Path No:0, Time: 0.000003s
Port:900037, Path No:0, Time: 0.000002s
Port:900037, Compressed Path No:0, Time: 0.000003s
Port:300012, Path No:0, Time: 0.000002s
Port:300012, Compressed Path No:0, Time: 0.000002s
Port:600001, Path No:0, Time: 0.000001s
Port:600001, Compressed Path No:0, Time: 0.000002s
Port:400011, Path No:0, Time: 0.000002s
Port:400011, Compressed Path No:0, Time: 0.000002s
Port:200034, Path No:0, Time: 0.000025s
Port:200034, Compressed Path No:0, Time: 0.000002s
Port:100009, Path No:7307, Time: 1.314570s
Port:100009, Compressed Path No:7305, Time: 0.020064s
Port:700015, Path No:0, Time: 0.000013s
Port:700015, Compressed Path No:0, Time: 0.000015s
Port:200001, Path No:0, Time: 0.000042s
Port:200001, Compressed Path No:0, Time: 0.000006s
Port:200006, Path No:0, Time: 0.000026s
Port:200006, Compressed Path No:0, Time: 0.000004s
Port:900024, Path No:0, Time: 0.000004s
Port:900024, Compressed Path No:0, Time: 0.000004s
Port:200009, Path No:8304, Time: 1.033237s
Port:200009, Compressed Path No:4098, Time: 0.033201s
Port:300016, Path No:0, Time: 0.000013s
Port:300016, Compressed Path No:0, Time: 0.000014s
Port:100003, Path No:0, Time: 0.000036s
Port:100003, Compressed Path No:0, Time: 0.000013s
Port:400014, Path No:0, Time: 0.000009s
Port:400014, Compressed Path No:0, Time: 0.000008s
Port:800006, Path No:0, Time: 0.000006s
Port:800006, Compressed Path No:0, Time: 0.000004s
Port:900005, Path No:0, Time: 0.000000s
Port:900005, Compressed Path No:0, Time: 0.000005s
Port:800026, Path No:0, Time: 0.000003s
Port:800026, Compressed Path No:0, Time: 0.000003s
Port:700003, Path No:0, Time: 0.000002s
Port:700003, Compressed Path No:0, Time: 0.000003s
Port:800007, Path No:0, Time: 0.000002s
Port:800007, Compressed Path No:0, Time: 0.000003s
