['atla', 'chic', 'newy32aoa', 'wash']
=== Loading transfer function from file work/Internet2/atla.tf ===
=== Transfer function loaded from file work/Internet2/atla.tf ===
=== Loading transfer function from file work/Internet2/chic.tf ===
=== Transfer function loaded from file work/Internet2/chic.tf ===
=== Loading transfer function from file work/Internet2/newy32aoa.tf ===
=== Transfer function loaded from file work/Internet2/newy32aoa.tf ===
=== Loading transfer function from file work/Internet2/wash.tf ===
=== Transfer function loaded from file work/Internet2/wash.tf ===
=== Loading transfer function from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo147/backbone_topology.tf ===
=== Transfer function loaded from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo147/backbone_topology.tf ===
Total Rules: 35340
Total Links: 22
Total Length: 345
New Length: 138
Port:200008, Path No:1530, Time: 0.784122s
Port:200008, Compressed Path No:1530, Time: 0.004102s
Port:900034, Path No:0, Time: 0.000011s
Port:900034, Compressed Path No:0, Time: 0.000015s
Port:900022, Path No:0, Time: 0.000007s
Port:900022, Compressed Path No:0, Time: 0.000007s
Port:500021, Path No:0, Time: 0.000005s
Port:500021, Compressed Path No:0, Time: 0.000005s
Port:900038, Path No:0, Time: 0.000004s
Port:900038, Compressed Path No:0, Time: 0.000004s
Port:100017, Path No:2874, Time: 1.283287s
Port:100017, Compressed Path No:2872, Time: 0.006929s
Port:700016, Path No:0, Time: 0.000010s
Port:700016, Compressed Path No:0, Time: 0.000012s
Port:300021, Path No:0, Time: 0.000033s
Port:300021, Compressed Path No:0, Time: 0.000003s
Port:400004, Path No:0, Time: 0.000019s
Port:400004, Compressed Path No:0, Time: 0.000003s
Port:800024, Path No:0, Time: 0.000003s
Port:800024, Compressed Path No:0, Time: 0.000002s
Port:600032, Path No:0, Time: 0.000002s
Port:600032, Compressed Path No:0, Time: 0.000002s
Port:700010, Path No:0, Time: 0.000003s
Port:700010, Compressed Path No:0, Time: 0.000003s
Port:700009, Path No:0, Time: 0.000003s
Port:700009, Compressed Path No:0, Time: 0.000003s
Port:300035, Path No:0, Time: 0.000019s
Port:300035, Compressed Path No:0, Time: 0.000003s
Port:900033, Path No:0, Time: 0.000002s
Port:900033, Compressed Path No:0, Time: 0.000002s
Port:900045, Path No:0, Time: 0.000002s
Port:900045, Compressed Path No:0, Time: 0.000002s
Port:200007, Path No:11984, Time: 4.719517s
Port:200007, Compressed Path No:1498, Time: 0.083060s
Port:500024, Path No:0, Time: 0.000020s
Port:500024, Compressed Path No:0, Time: 0.000029s
Port:400022, Path No:0, Time: 0.000045s
Port:400022, Compressed Path No:0, Time: 0.000005s
Port:200019, Path No:3056, Time: 1.318416s
Port:200019, Compressed Path No:1528, Time: 0.012481s
Port:200046, Path No:4590, Time: 1.872828s
Port:200046, Compressed Path No:1530, Time: 0.024750s
Port:700018, Path No:0, Time: 0.000011s
Port:700018, Compressed Path No:0, Time: 0.000030s
Port:500032, Path No:0, Time: 0.000011s
Port:500032, Compressed Path No:0, Time: 0.000008s
Port:600016, Path No:0, Time: 0.000006s
Port:600016, Compressed Path No:0, Time: 0.000004s
Port:900046, Path No:0, Time: 0.000006s
Port:900046, Compressed Path No:0, Time: 0.000006s
Port:100011, Path No:0, Time: 0.000054s
Port:100011, Compressed Path No:0, Time: 0.000006s
Port:200037, Path No:1516, Time: 0.749119s
Port:200037, Compressed Path No:1516, Time: 0.005791s
Port:300033, Path No:0, Time: 0.000075s
Port:300033, Compressed Path No:0, Time: 0.000017s
Port:400015, Path No:0, Time: 0.000039s
Port:400015, Compressed Path No:0, Time: 0.000005s
Port:300040, Path No:0, Time: 0.000029s
Port:300040, Compressed Path No:0, Time: 0.000005s
Port:300005, Path No:0, Time: 0.000020s
Port:300005, Compressed Path No:0, Time: 0.000005s
Port:900014, Path No:0, Time: 0.000004s
Port:900014, Compressed Path No:0, Time: 0.000004s
Port:300003, Path No:0, Time: 0.000018s
Port:300003, Compressed Path No:0, Time: 0.000008s
Port:400001, Path No:0, Time: 0.000017s
Port:400001, Compressed Path No:0, Time: 0.000004s
Port:900020, Path No:0, Time: 0.000003s
Port:900020, Compressed Path No:0, Time: 0.000003s
Port:600025, Path No:0, Time: 0.000003s
Port:600025, Compressed Path No:0, Time: 0.000004s
Port:900006, Path No:0, Time: 0.000003s
Port:900006, Compressed Path No:0, Time: 0.000002s
Port:300044, Path No:0, Time: 0.000016s
Port:300044, Compressed Path No:0, Time: 0.000002s
Port:500028, Path No:0, Time: 0.000002s
Port:500028, Compressed Path No:0, Time: 0.000002s
Port:300023, Path No:0, Time: 0.000013s
Port:300023, Compressed Path No:0, Time: 0.000002s
Port:200020, Path No:3060, Time: 1.423976s
Port:200020, Compressed Path No:1530, Time: 0.013485s
Port:300037, Path No:0, Time: 0.000045s
Port:300037, Compressed Path No:0, Time: 0.000013s
Port:200009, Path No:3060, Time: 1.396307s
Port:200009, Compressed Path No:1530, Time: 0.012264s
Port:800035, Path No:0, Time: 0.000011s
Port:800035, Compressed Path No:0, Time: 0.000017s
Port:700014, Path No:0, Time: 0.000006s
Port:700014, Compressed Path No:0, Time: 0.000004s
Port:500031, Path No:0, Time: 0.000004s
