['atla', 'chic', 'hous', 'salt', 'seat']
=== Loading transfer function from file work/Internet2/atla.tf ===
=== Transfer function loaded from file work/Internet2/atla.tf ===
=== Loading transfer function from file work/Internet2/chic.tf ===
=== Transfer function loaded from file work/Internet2/chic.tf ===
=== Loading transfer function from file work/Internet2/hous.tf ===
=== Transfer function loaded from file work/Internet2/hous.tf ===
=== Loading transfer function from file work/Internet2/salt.tf ===
=== Transfer function loaded from file work/Internet2/salt.tf ===
=== Loading transfer function from file work/Internet2/seat.tf ===
=== Transfer function loaded from file work/Internet2/seat.tf ===
=== Loading transfer function from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo268/backbone_topology.tf ===
=== Transfer function loaded from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo268/backbone_topology.tf ===
Total Rules: 42853
Total Links: 12
Total Length: 345
New Length: 138
Port:500013, Path No:0, Time: 0.000150s
Port:500013, Compressed Path No:0, Time: 0.000036s
Port:400026, Path No:0, Time: 0.000048s
Port:400026, Compressed Path No:0, Time: 0.000004s
Port:300047, Path No:12374, Time: 3.591136s
Port:300047, Compressed Path No:6179, Time: 0.053562s
Port:600028, Path No:0, Time: 0.000012s
Port:600028, Compressed Path No:0, Time: 0.000015s
Port:900040, Path No:0, Time: 0.000006s
Port:900040, Compressed Path No:0, Time: 0.000005s
Port:400022, Path No:0, Time: 0.000039s
Port:400022, Compressed Path No:0, Time: 0.000004s
Port:600020, Path No:0, Time: 0.000004s
Port:600020, Compressed Path No:0, Time: 0.000003s
Port:800020, Path No:0, Time: 0.000003s
Port:800020, Compressed Path No:0, Time: 0.000003s
Port:200042, Path No:0, Time: 0.000021s
Port:200042, Compressed Path No:0, Time: 0.000004s
Port:600002, Path No:0, Time: 0.000000s
Port:600002, Compressed Path No:0, Time: 0.000000s
Port:600008, Path No:0, Time: 0.000004s
Port:600008, Compressed Path No:0, Time: 0.000003s
Port:500023, Path No:0, Time: 0.000019s
Port:500023, Compressed Path No:0, Time: 0.000003s
Port:800011, Path No:0, Time: 0.000003s
Port:800011, Compressed Path No:0, Time: 0.000002s
Port:500027, Path No:0, Time: 0.000015s
Port:500027, Compressed Path No:0, Time: 0.000002s
Port:900039, Path No:0, Time: 0.000003s
Port:900039, Compressed Path No:0, Time: 0.000003s
Port:100029, Path No:0, Time: 0.000016s
Port:100029, Compressed Path No:0, Time: 0.000003s
Port:400010, Path No:0, Time: 0.000013s
Port:400010, Compressed Path No:0, Time: 0.000003s
Port:500007, Path No:0, Time: 0.000014s
Port:500007, Compressed Path No:0, Time: 0.000003s
Port:300017, Path No:0, Time: 0.000014s
Port:300017, Compressed Path No:0, Time: 0.000003s
Port:300021, Path No:12352, Time: 3.390379s
Port:300021, Compressed Path No:6167, Time: 0.050429s
Port:300016, Path No:0, Time: 0.000059s
Port:300016, Compressed Path No:0, Time: 0.000015s
Port:300004, Path No:12024, Time: 3.589064s
Port:300004, Compressed Path No:6004, Time: 0.050251s
Port:400032, Path No:0, Time: 0.000076s
Port:400032, Compressed Path No:0, Time: 0.000012s
Port:700012, Path No:0, Time: 0.000004s
Port:700012, Compressed Path No:0, Time: 0.000004s
Port:300012, Path No:0, Time: 0.000020s
Port:300012, Compressed Path No:0, Time: 0.000003s
Port:300031, Path No:0, Time: 0.000015s
Port:300031, Compressed Path No:0, Time: 0.000003s
Port:400003, Path No:0, Time: 0.000014s
Port:400003, Compressed Path No:0, Time: 0.000003s
Port:200009, Path No:8442, Time: 0.949332s
Port:200009, Compressed Path No:4166, Time: 0.027779s
Port:200003, Path No:4220, Time: 0.436945s
Port:200003, Compressed Path No:4167, Time: 0.009652s
Port:100026, Path No:10583, Time: 1.950388s
Port:100026, Compressed Path No:9680, Time: 0.030941s
Port:900001, Path No:0, Time: 0.000010s
Port:900001, Compressed Path No:0, Time: 0.000015s
Port:800008, Path No:0, Time: 0.000007s
Port:800008, Compressed Path No:0, Time: 0.000006s
Port:500021, Path No:0, Time: 0.000043s
Port:500021, Compressed Path No:0, Time: 0.000005s
Port:600004, Path No:0, Time: 0.000004s
Port:600004, Compressed Path No:0, Time: 0.000004s
Port:400011, Path No:0, Time: 0.000025s
Port:400011, Compressed Path No:0, Time: 0.000004s
Port:400015, Path No:0, Time: 0.000025s
Port:400015, Compressed Path No:0, Time: 0.000005s
Port:300024, Path No:0, Time: 0.000020s
Port:300024, Compressed Path No:0, Time: 0.000003s
Port:200045, Path No:5022, Time: 1.382196s
Port:200045, Compressed Path No:1622, Time: 0.017544s
Port:300019, Path No:6185, Time: 1.648947s
Port:300019, Compressed Path No:6174, Time: 0.019397s
Port:500033, Path No:0, Time: 0.000058s
Port:500033, Compressed Path No:0, Time: 0.000013s
Port:800022, Path No:0, Time: 0.000006s
Port:800022, Compressed Path No:0, Time: 0.000004s
Port:800018, Path No:0, Time: 0.000005s
Port:800018, Compressed Path No:0, Time: 0.000003s
Port:800005, Path No:0, Time: 0.000003s
Port:800005, Compressed Path No:0, Time: 0.000003s
Port:900027, Path No:0, Time: 0.000003s
Port:900027, Compressed Path No:0, Time: 0.000002s
Port:300046, Path No:6185, Time: 1.764638s
Port:300046, Compressed Path No:6177, Time: 0.017446s
Port:800019, Path No:0, Time: 0.000013s
Port:800019, Compressed Path No:0, Time: 0.000016s
Port:700004, Path No:0, Time: 0.000006s
Port:700004, Compressed Path No:0, Time: 0.000005s
Port:700009, Path No:0, Time: 0.000004s
Port:700009, Compressed Path No:0, Time: 0.000003s
