['atla', 'seat', 'wash']
=== Loading transfer function from file work/Internet2/atla.tf ===
=== Transfer function loaded from file work/Internet2/atla.tf ===
=== Loading transfer function from file work/Internet2/seat.tf ===
=== Transfer function loaded from file work/Internet2/seat.tf ===
=== Loading transfer function from file work/Internet2/wash.tf ===
=== Transfer function loaded from file work/Internet2/wash.tf ===
=== Loading transfer function from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo73/backbone_topology.tf ===
=== Transfer function loaded from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo73/backbone_topology.tf ===
Total Rules: 26157
Total Links: 6
Total Length: 345
New Length: 138
Port:200013, Path No:0, Time: 0.000138s
Port:200013, Compressed Path No:0, Time: 0.000031s
Port:800012, Path No:0, Time: 0.000005s
Port:800012, Compressed Path No:0, Time: 0.000005s
Port:100018, Path No:2091, Time: 0.471186s
Port:100018, Compressed Path No:2091, Time: 0.004122s
Port:300031, Path No:0, Time: 0.000046s
Port:300031, Compressed Path No:0, Time: 0.000012s
Port:900027, Path No:0, Time: 0.000005s
Port:900027, Compressed Path No:0, Time: 0.000004s
Port:800033, Path No:0, Time: 0.000004s
Port:800033, Compressed Path No:0, Time: 0.000003s
Port:600001, Path No:0, Time: 0.000003s
Port:600001, Compressed Path No:0, Time: 0.000003s
Port:900022, Path No:0, Time: 0.000003s
Port:900022, Compressed Path No:0, Time: 0.000002s
Port:200012, Path No:0, Time: 0.000020s
Port:200012, Compressed Path No:0, Time: 0.000003s
Port:300041, Path No:0, Time: 0.000014s
Port:300041, Compressed Path No:0, Time: 0.000002s
Port:700015, Path No:0, Time: 0.000002s
Port:700015, Compressed Path No:0, Time: 0.000002s
Port:400009, Path No:0, Time: 0.000002s
Port:400009, Compressed Path No:0, Time: 0.000002s
Port:500021, Path No:0, Time: 0.000002s
Port:500021, Compressed Path No:0, Time: 0.000002s
Port:400023, Path No:0, Time: 0.000002s
Port:400023, Compressed Path No:0, Time: 0.000002s
Port:300017, Path No:0, Time: 0.000014s
Port:300017, Compressed Path No:0, Time: 0.000002s
Port:500006, Path No:0, Time: 0.000002s
Port:500006, Compressed Path No:0, Time: 0.000002s
Port:400017, Path No:0, Time: 0.000002s
Port:400017, Compressed Path No:0, Time: 0.000002s
Port:300025, Path No:0, Time: 0.000011s
Port:300025, Compressed Path No:0, Time: 0.000002s
Port:400013, Path No:0, Time: 0.000002s
Port:400013, Compressed Path No:0, Time: 0.000002s
Port:100009, Path No:2090, Time: 0.440344s
Port:100009, Compressed Path No:2090, Time: 0.004733s
Port:500026, Path No:0, Time: 0.000011s
Port:500026, Compressed Path No:0, Time: 0.000012s
Port:100025, Path No:2090, Time: 0.339349s
Port:100025, Compressed Path No:2090, Time: 0.004540s
Port:100021, Path No:178, Time: 0.466017s
Port:100021, Compressed Path No:178, Time: 0.000458s
Port:600030, Path No:0, Time: 0.000009s
Port:600030, Compressed Path No:0, Time: 0.000011s
Port:200033, Path No:0, Time: 0.000027s
Port:200033, Compressed Path No:0, Time: 0.000004s
Port:200005, Path No:0, Time: 0.000014s
Port:200005, Compressed Path No:0, Time: 0.000003s
Port:400025, Path No:0, Time: 0.000002s
Port:400025, Compressed Path No:0, Time: 0.000002s
Port:600003, Path No:0, Time: 0.000003s
Port:600003, Compressed Path No:0, Time: 0.000002s
Port:500031, Path No:0, Time: 0.000001s
Port:500031, Compressed Path No:0, Time: 0.000002s
Port:200017, Path No:0, Time: 0.000012s
Port:200017, Compressed Path No:0, Time: 0.000002s
Port:300008, Path No:0, Time: 0.000012s
Port:300008, Compressed Path No:0, Time: 0.000002s
Port:800001, Path No:0, Time: 0.000002s
Port:800001, Compressed Path No:0, Time: 0.000002s
Port:600035, Path No:0, Time: 0.000002s
Port:600035, Compressed Path No:0, Time: 0.000002s
Port:600006, Path No:0, Time: 0.000002s
Port:600006, Compressed Path No:0, Time: 0.000002s
Port:600027, Path No:0, Time: 0.000002s
Port:600027, Compressed Path No:0, Time: 0.000002s
Port:300029, Path No:0, Time: 0.000014s
Port:300029, Compressed Path No:0, Time: 0.000003s
Port:200045, Path No:0, Time: 0.000012s
Port:200045, Compressed Path No:0, Time: 0.000003s
Port:600017, Path No:0, Time: 0.000002s
Port:600017, Compressed Path No:0, Time: 0.000002s
Port:300002, Path No:0, Time: 0.000010s
Port:300002, Compressed Path No:0, Time: 0.000002s
Port:900010, Path No:0, Time: 0.000002s
Port:900010, Compressed Path No:0, Time: 0.000002s
Port:900036, Path No:0, Time: 0.000002s
Port:900036, Compressed Path No:0, Time: 0.000001s
Port:900038, Path No:0, Time: 0.000002s
Port:900038, Compressed Path No:0, Time: 0.000002s
Port:300012, Path No:0, Time: 0.000011s
Port:300012, Compressed Path No:0, Time: 0.000002s
Port:500019, Path No:0, Time: 0.000002s
Port:500019, Compressed Path No:0, Time: 0.000001s
Port:800005, Path No:0, Time: 0.000002s
Port:800005, Compressed Path No:0, Time: 0.000001s
Port:800013, Path No:0, Time: 0.000002s
Port:800013, Compressed Path No:0, Time: 0.000002s
Port:900023, Path No:0, Time: 0.000002s
Port:900023, Compressed Path No:0, Time: 0.000002s
Port:400020, Path No:0, Time: 0.000002s
Port:400020, Compressed Path No:0, Time: 0.000002s
Port:800032, Path No:0, Time: 0.000001s
Port:800032, Compressed Path No:0, Time: 0.000002s
Port:300045, Path No:0, Time: 0.000012s
Port:300045, Compressed Path No:0, Time: 0.000002s
Port:800030, Path No:0, Time: 0.000002s
Port:800030, Compressed Path No:0, Time: 0.000002s
Port:400007, Path No:0, Time: 0.000002s
Port:400007, Compressed Path No:0, Time: 0.000002s
Port:700020, Path No:0, Time: 0.000002s
Port:700020, Compressed Path No:0, Time: 0.000002s
Port:700010, Path No:0, Time: 0.000001s
Port:700010, Compressed Path No:0, Time: 0.000001s
Port:500001, Path No:0, Time: 0.000002s
Port:500001, Compressed Path No:0, Time: 0.000002s
Port:300048, Path No:0, Time: 0.000011s
Port:300048, Compressed Path No:0, Time: 0.000002s
Port:500015, Path No:0, Time: 0.000002s
Port:500015, Compressed Path No:0, Time: 0.000002s
Port:400022, Path No:0, Time: 0.000002s
Port:400022, Compressed Path No:0, Time: 0.000002s
Port:700006, Path No:0, Time: 0.000002s
Port:700006, Compressed Path No:0, Time: 0.000002s
Port:800023, Path No:0, Time: 0.000002s
Port:800023, Compressed Path No:0, Time: 0.000002s
Port:100017, Path No:2091, Time: 0.336384s
Port:100017, Compressed Path No:2091, Time: 0.004623s
Port:500010, Path No:0, Time: 0.000014s
Port:500010, Compressed Path No:0, Time: 0.000013s
Port:400011, Path No:0, Time: 0.000005s
Port:400011, Compressed Path No:0, Time: 0.000005s
Port:200007, Path No:0, Time: 0.000034s
Port:200007, Compressed Path No:0, Time: 0.000004s
Port:700005, Path No:0, Time: 0.000004s
Port:700005, Compressed Path No:0, Time: 0.000004s
Port:700014, Path No:0, Time: 0.000003s
Port:700014, Compressed Path No:0, Time: 0.000002s
Port:600033, Path No:0, Time: 0.000003s
Port:600033, Compressed Path No:0, Time: 0.000003s
Port:200026, Path No:0, Time: 0.000020s
Port:200026, Compressed Path No:0, Time: 0.000003s
Port:900015, Path No:0, Time: 0.000002s
Port:900015, Compressed Path No:0, Time: 0.000002s
Port:500013, Path No:0, Time: 0.000003s
Port:500013, Compressed Path No:0, Time: 0.000002s
Port:300018, Path No:0, Time: 0.000020s
Port:300018, Compressed Path No:0, Time: 0.000004s
Port:700001, Path No:0, Time: 0.000004s
Port:700001, Compressed Path No:0, Time: 0.000003s
Port:600022, Path No:0, Time: 0.000003s
Port:600022, Compressed Path No:0, Time: 0.000002s
Port:300044, Path No:0, Time: 0.000016s
Port:300044, Compressed Path No:0, Time: 0.000002s
Port:900045, Path No:0, Time: 0.000003s
Port:900045, Compressed Path No:0, Time: 0.000003s
Port:200035, Path No:0, Time: 0.000015s
Port:200035, Compressed Path No:0, Time: 0.000003s
Port:600019, Path No:0, Time: 0.000002s
Port:600019, Compressed Path No:0, Time: 0.000002s
Port:200003, Path No:0, Time: 0.000013s
Port:200003, Compressed Path No:0, Time: 0.000009s
Port:500033, Path No:0, Time: 0.000006s
Port:500033, Compressed Path No:0, Time: 0.000006s
Port:300004, Path No:0, Time: 0.000030s
Port:300004, Compressed Path No:0, Time: 0.000005s
Port:200021, Path No:0, Time: 0.000025s
Port:200021, Compressed Path No:0, Time: 0.000003s
Port:100031, Path No:24720, Time: 4.937066s
Port:100031, Compressed Path No:2060, Time: 0.128201s
Port:300007, Path No:0, Time: 0.000037s
Port:300007, Compressed Path No:0, Time: 0.000013s
Port:500028, Path No:0, Time: 0.000005s
Port:500028, Compressed Path No:0, Time: 0.000005s
Port:400014, Path No:0, Time: 0.000004s
Port:400014, Compressed Path No:0, Time: 0.000003s
Port:200022, Path No:0, Time: 0.000030s
Port:200022, Compressed Path No:0, Time: 0.000003s
Port:500004, Path No:0, Time: 0.000003s
Port:500004, Compressed Path No:0, Time: 0.000003s
Port:700012, Path No:0, Time: 0.000002s
Port:700012, Compressed Path No:0, Time: 0.000003s
Port:400031, Path No:0, Time: 0.000003s
Port:400031, Compressed Path No:0, Time: 0.000002s
Port:800022, Path No:0, Time: 0.000003s
Port:800022, Compressed Path No:0, Time: 0.000002s
Port:400016, Path No:0, Time: 0.000002s
Port:400016, Compressed Path No:0, Time: 0.000003s
Port:500020, Path No:0, Time: 0.000002s
Port:500020, Compressed Path No:0, Time: 0.000003s
Port:900030, Path No:0, Time: 0.000002s
Port:900030, Compressed Path No:0, Time: 0.000003s
Port:700002, Path No:0, Time: 0.000002s
Port:700002, Compressed Path No:0, Time: 0.000002s
Port:900046, Path No:0, Time: 0.000002s
Port:900046, Compressed Path No:0, Time: 0.000002s
Port:300033, Path No:0, Time: 0.000016s
Port:300033, Compressed Path No:0, Time: 0.000007s
Port:600026, Path No:0, Time: 0.000003s
Port:600026, Compressed Path No:0, Time: 0.000003s
Port:100022, Path No:6159, Time: 0.991553s
Port:100022, Compressed Path No:2053, Time: 0.024013s
Port:200040, Path No:0, Time: 0.000040s
Port:200040, Compressed Path No:0, Time: 0.000014s
Port:400026, Path No:0, Time: 0.000008s
Port:400026, Compressed Path No:0, Time: 0.000003s
Port:200008, Path No:0, Time: 0.000026s
Port:200008, Compressed Path No:0, Time: 0.000003s
Port:700022, Path No:0, Time: 0.000003s
Port:700022, Compressed Path No:0, Time: 0.000002s
Port:600015, Path No:0, Time: 0.000003s
