['kans', 'losa', 'seat']
=== Loading transfer function from file work/Internet2/kans.tf ===
=== Transfer function loaded from file work/Internet2/kans.tf ===
=== Loading transfer function from file work/Internet2/losa.tf ===
=== Transfer function loaded from file work/Internet2/losa.tf ===
=== Loading transfer function from file work/Internet2/seat.tf ===
=== Transfer function loaded from file work/Internet2/seat.tf ===
=== Loading transfer function from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo112/backbone_topology.tf ===
=== Transfer function loaded from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo112/backbone_topology.tf ===
Total Rules: 25603
Total Links: 4
Total Length: 345
New Length: 138
Port:800021, Path No:0, Time: 0.000041s
Port:800021, Compressed Path No:0, Time: 0.000034s
Port:400003, Path No:0, Time: 0.000004s
Port:400003, Compressed Path No:0, Time: 0.000003s
Port:400013, Path No:0, Time: 0.000002s
Port:400013, Compressed Path No:0, Time: 0.000003s
Port:900028, Path No:0, Time: 0.000002s
Port:900028, Compressed Path No:0, Time: 0.000002s
Port:300009, Path No:0, Time: 0.000075s
Port:300009, Compressed Path No:0, Time: 0.000003s
Port:300020, Path No:0, Time: 0.000015s
Port:300020, Compressed Path No:0, Time: 0.000003s
Port:800003, Path No:0, Time: 0.000002s
Port:800003, Compressed Path No:0, Time: 0.000002s
Port:200013, Path No:0, Time: 0.000035s
Port:200013, Compressed Path No:0, Time: 0.000003s
Port:400015, Path No:0, Time: 0.000002s
Port:400015, Compressed Path No:0, Time: 0.000003s
Port:300041, Path No:0, Time: 0.000013s
Port:300041, Compressed Path No:0, Time: 0.000002s
Port:300012, Path No:0, Time: 0.000012s
Port:300012, Compressed Path No:0, Time: 0.000010s
Port:700004, Path No:0, Time: 0.000002s
Port:700004, Compressed Path No:0, Time: 0.000002s
Port:200002, Path No:0, Time: 0.000011s
Port:200002, Compressed Path No:0, Time: 0.000001s
Port:600021, Path No:0, Time: 0.000002s
Port:600021, Compressed Path No:0, Time: 0.000002s
Port:400026, Path No:0, Time: 0.000002s
Port:400026, Compressed Path No:0, Time: 0.000002s
Port:700002, Path No:0, Time: 0.000002s
Port:700002, Compressed Path No:0, Time: 0.000001s
Port:900023, Path No:0, Time: 0.000001s
Port:900023, Compressed Path No:0, Time: 0.000002s
Port:600013, Path No:0, Time: 0.000001s
Port:600013, Compressed Path No:0, Time: 0.000002s
Port:600010, Path No:0, Time: 0.000002s
Port:600010, Compressed Path No:0, Time: 0.000002s
Port:700013, Path No:0, Time: 0.000002s
Port:700013, Compressed Path No:0, Time: 0.000002s
Port:100013, Path No:0, Time: 0.000020s
Port:100013, Compressed Path No:0, Time: 0.000003s
Port:800004, Path No:0, Time: 0.000002s
Port:800004, Compressed Path No:0, Time: 0.000002s
Port:900034, Path No:0, Time: 0.000002s
Port:900034, Compressed Path No:0, Time: 0.000002s
Port:400010, Path No:0, Time: 0.000001s
Port:400010, Compressed Path No:0, Time: 0.000002s
Port:200034, Path No:0, Time: 0.000012s
Port:200034, Compressed Path No:0, Time: 0.000002s
Port:900017, Path No:0, Time: 0.000002s
Port:900017, Compressed Path No:0, Time: 0.000002s
Port:300022, Path No:0, Time: 0.000011s
Port:300022, Compressed Path No:0, Time: 0.000004s
Port:200023, Path No:0, Time: 0.000017s
