['chic', 'newy32aoa', 'seat', 'wash']
=== Loading transfer function from file work/Internet2/chic.tf ===
=== Transfer function loaded from file work/Internet2/chic.tf ===
=== Loading transfer function from file work/Internet2/newy32aoa.tf ===
=== Transfer function loaded from file work/Internet2/newy32aoa.tf ===
=== Loading transfer function from file work/Internet2/seat.tf ===
=== Transfer function loaded from file work/Internet2/seat.tf ===
=== Loading transfer function from file work/Internet2/wash.tf ===
=== Transfer function loaded from file work/Internet2/wash.tf ===
=== Loading transfer function from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo219/backbone_topology.tf ===
=== Transfer function loaded from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo219/backbone_topology.tf ===
Total Rules: 35016
Total Links: 12
Total Length: 345
New Length: 138
Port:300015, Path No:0, Time: 0.000724s
Port:300015, Compressed Path No:0, Time: 0.000155s
Port:300040, Path No:0, Time: 0.000047s
Port:300040, Compressed Path No:0, Time: 0.000010s
Port:900050, Path No:0, Time: 0.000005s
Port:900050, Compressed Path No:0, Time: 0.000004s
Port:100026, Path No:0, Time: 0.000045s
Port:100026, Compressed Path No:0, Time: 0.000006s
Port:100031, Path No:0, Time: 0.000015s
Port:100031, Compressed Path No:0, Time: 0.000004s
Port:100028, Path No:0, Time: 0.000064s
Port:100028, Compressed Path No:0, Time: 0.000005s
Port:500006, Path No:0, Time: 0.000004s
Port:500006, Compressed Path No:0, Time: 0.000003s
Port:500016, Path No:0, Time: 0.000002s
Port:500016, Compressed Path No:0, Time: 0.000002s
Port:300007, Path No:0, Time: 0.000020s
Port:300007, Compressed Path No:0, Time: 0.000002s
Port:600009, Path No:0, Time: 0.000002s
Port:600009, Compressed Path No:0, Time: 0.000002s
Port:700016, Path No:0, Time: 0.000002s
Port:700016, Compressed Path No:0, Time: 0.000002s
Port:600038, Path No:0, Time: 0.000014s
Port:600038, Compressed Path No:0, Time: 0.000003s
Port:400013, Path No:0, Time: 0.000025s
Port:400013, Compressed Path No:0, Time: 0.000003s
Port:200002, Path No:0, Time: 0.000028s
Port:200002, Compressed Path No:0, Time: 0.000003s
Port:400023, Path No:0, Time: 0.000011s
Port:400023, Compressed Path No:0, Time: 0.000002s
Port:600036, Path No:0, Time: 0.000002s
Port:600036, Compressed Path No:0, Time: 0.000002s
Port:700011, Path No:0, Time: 0.000002s
Port:700011, Compressed Path No:0, Time: 0.000002s
Port:300037, Path No:0, Time: 0.000011s
Port:300037, Compressed Path No:0, Time: 0.000001s
Port:800033, Path No:0, Time: 0.000001s
Port:800033, Compressed Path No:0, Time: 0.000001s
Port:600005, Path No:0, Time: 0.000002s
Port:600005, Compressed Path No:0, Time: 0.000002s
Port:100008, Path No:0, Time: 0.000011s
Port:100008, Compressed Path No:0, Time: 0.000002s
Port:900004, Path No:0, Time: 0.000002s
Port:900004, Compressed Path No:0, Time: 0.000002s
Port:300032, Path No:0, Time: 0.000010s
Port:300032, Compressed Path No:0, Time: 0.000002s
Port:700013, Path No:0, Time: 0.000002s
Port:700013, Compressed Path No:0, Time: 0.000001s
Port:200034, Path No:0, Time: 0.000010s
Port:200034, Compressed Path No:0, Time: 0.000003s
Port:200004, Path No:0, Time: 0.000014s
Port:200004, Compressed Path No:0, Time: 0.000003s
Port:900042, Path No:0, Time: 0.000002s
Port:900042, Compressed Path No:0, Time: 0.000002s
Port:300012, Path No:0, Time: 0.000013s
Port:300012, Compressed Path No:0, Time: 0.000002s
Port:800022, Path No:0, Time: 0.000002s
Port:800022, Compressed Path No:0, Time: 0.000002s
Port:300023, Path No:0, Time: 0.000013s
Port:300023, Compressed Path No:0, Time: 0.000002s
Port:800010, Path No:0, Time: 0.000002s
Port:800010, Compressed Path No:0, Time: 0.000002s
Port:600030, Path No:0, Time: 0.000002s
Port:600030, Compressed Path No:0, Time: 0.000002s
Port:500026, Path No:0, Time: 0.000002s
Port:500026, Compressed Path No:0, Time: 0.000002s
Port:200032, Path No:0, Time: 0.000036s
Port:200032, Compressed Path No:0, Time: 0.000006s
Port:800012, Path No:0, Time: 0.000004s
Port:800012, Compressed Path No:0, Time: 0.000003s
Port:900020, Path No:0, Time: 0.000004s
Port:900020, Compressed Path No:0, Time: 0.000004s
Port:300006, Path No:0, Time: 0.000000s
Port:300006, Compressed Path No:0, Time: 0.000004s
Port:500003, Path No:0, Time: 0.000003s
Port:500003, Compressed Path No:0, Time: 0.000003s
Port:500025, Path No:0, Time: 0.000002s
Port:500025, Compressed Path No:0, Time: 0.000003s
Port:300027, Path No:0, Time: 0.000017s
Port:300027, Compressed Path No:0, Time: 0.000003s
Port:800018, Path No:0, Time: 0.000002s
Port:800018, Compressed Path No:0, Time: 0.000003s
Port:600037, Path No:0, Time: 0.000002s
Port:600037, Compressed Path No:0, Time: 0.000002s
Port:800005, Path No:0, Time: 0.000002s
Port:800005, Compressed Path No:0, Time: 0.000002s
Port:400027, Path No:0, Time: 0.000015s
Port:400027, Compressed Path No:0, Time: 0.000003s
Port:200039, Path No:0, Time: 0.000014s
Port:200039, Compressed Path No:0, Time: 0.000003s
Port:200023, Path No:0, Time: 0.000014s
Port:200023, Compressed Path No:0, Time: 0.000004s
Port:200030, Path No:0, Time: 0.000015s
Port:200030, Compressed Path No:0, Time: 0.000002s
Port:500022, Path No:0, Time: 0.000002s
Port:500022, Compressed Path No:0, Time: 0.000002s
Port:800020, Path No:0, Time: 0.000002s
Port:800020, Compressed Path No:0, Time: 0.000002s
