['hous', 'kans', 'newy32aoa', 'wash']
=== Loading transfer function from file work/Internet2/hous.tf ===
=== Transfer function loaded from file work/Internet2/hous.tf ===
=== Loading transfer function from file work/Internet2/kans.tf ===
=== Transfer function loaded from file work/Internet2/kans.tf ===
=== Loading transfer function from file work/Internet2/newy32aoa.tf ===
=== Transfer function loaded from file work/Internet2/newy32aoa.tf ===
=== Loading transfer function from file work/Internet2/wash.tf ===
=== Transfer function loaded from file work/Internet2/wash.tf ===
=== Loading transfer function from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo227/backbone_topology.tf ===
=== Transfer function loaded from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo227/backbone_topology.tf ===
Total Rules: 34991
Total Links: 8
Total Length: 345
New Length: 138
Port:900021, Path No:0, Time: 0.000058s
Port:900021, Compressed Path No:0, Time: 0.000036s
Port:400006, Path No:0, Time: 0.000094s
Port:400006, Compressed Path No:0, Time: 0.000005s
Port:700016, Path No:0, Time: 0.000003s
Port:700016, Compressed Path No:0, Time: 0.000003s
Port:300020, Path No:0, Time: 0.000036s
Port:300020, Compressed Path No:0, Time: 0.000004s
Port:500031, Path No:0, Time: 0.000003s
Port:500031, Compressed Path No:0, Time: 0.000002s
Port:400017, Path No:0, Time: 0.000013s
Port:400017, Compressed Path No:0, Time: 0.000002s
Port:300001, Path No:0, Time: 0.000011s
Port:300001, Compressed Path No:0, Time: 0.000002s
Port:500015, Path No:0, Time: 0.000002s
Port:500015, Compressed Path No:0, Time: 0.000002s
Port:200032, Path No:0, Time: 0.000033s
Port:200032, Compressed Path No:0, Time: 0.000004s
Port:300047, Path No:0, Time: 0.000012s
Port:300047, Compressed Path No:0, Time: 0.000003s
Port:400031, Path No:0, Time: 0.000010s
Port:400031, Compressed Path No:0, Time: 0.000002s
Port:400023, Path No:0, Time: 0.000011s
Port:400023, Compressed Path No:0, Time: 0.000002s
Port:900001, Path No:0, Time: 0.000002s
Port:900001, Compressed Path No:0, Time: 0.000002s
Port:300050, Path No:0, Time: 0.000012s
Port:300050, Compressed Path No:0, Time: 0.000004s
Port:600035, Path No:0, Time: 0.000003s
Port:600035, Compressed Path No:0, Time: 0.000002s
Port:800023, Path No:0, Time: 0.000002s
Port:800023, Compressed Path No:0, Time: 0.000002s
Port:400013, Path No:0, Time: 0.000013s
Port:400013, Compressed Path No:0, Time: 0.000002s
Port:700004, Path No:0, Time: 0.000002s
Port:700004, Compressed Path No:0, Time: 0.000002s
Port:200011, Path No:0, Time: 0.000011s
Port:200011, Compressed Path No:0, Time: 0.000002s
Port:400025, Path No:0, Time: 0.000010s
Port:400025, Compressed Path No:0, Time: 0.000002s
Port:900023, Path No:0, Time: 0.000002s
Port:900023, Compressed Path No:0, Time: 0.000002s
Port:800028, Path No:0, Time: 0.000001s
Port:800028, Compressed Path No:0, Time: 0.000002s
Port:800035, Path No:0, Time: 0.000002s
Port:800035, Compressed Path No:0, Time: 0.000002s
Port:500013, Path No:0, Time: 0.000002s
Port:500013, Compressed Path No:0, Time: 0.000002s
Port:800012, Path No:0, Time: 0.000001s
