['atla', 'chic', 'hous', 'seat', 'wash']
=== Loading transfer function from file work/Internet2/atla.tf ===
=== Transfer function loaded from file work/Internet2/atla.tf ===
=== Loading transfer function from file work/Internet2/chic.tf ===
=== Transfer function loaded from file work/Internet2/chic.tf ===
=== Loading transfer function from file work/Internet2/hous.tf ===
=== Transfer function loaded from file work/Internet2/hous.tf ===
=== Loading transfer function from file work/Internet2/seat.tf ===
=== Transfer function loaded from file work/Internet2/seat.tf ===
=== Loading transfer function from file work/Internet2/wash.tf ===
=== Transfer function loaded from file work/Internet2/wash.tf ===
=== Loading transfer function from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo270/backbone_topology.tf ===
=== Transfer function loaded from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo270/backbone_topology.tf ===
Total Rules: 43375
Total Links: 18
Total Length: 345
New Length: 138
Port:600013, Path No:0, Time: 0.000051s
Port:600013, Compressed Path No:0, Time: 0.000040s
Port:800009, Path No:0, Time: 0.000006s
Port:800009, Compressed Path No:0, Time: 0.000007s
Port:800020, Path No:0, Time: 0.000004s
Port:800020, Compressed Path No:0, Time: 0.000004s
Port:200022, Path No:3213, Time: 0.575192s
Port:200022, Compressed Path No:3213, Time: 0.012064s
Port:100024, Path No:23024, Time: 8.043360s
Port:100024, Compressed Path No:5754, Time: 0.110335s
Port:600036, Path No:0, Time: 0.000015s
Port:600036, Compressed Path No:0, Time: 0.000015s
Port:700012, Path No:0, Time: 0.000005s
Port:700012, Compressed Path No:0, Time: 0.000005s
Port:500002, Path No:0, Time: 0.000035s
Port:500002, Compressed Path No:0, Time: 0.000004s
Port:200041, Path No:6426, Time: 0.850675s
Port:200041, Compressed Path No:3213, Time: 0.021932s
Port:200010, Path No:3210, Time: 0.614645s
Port:200010, Compressed Path No:3210, Time: 0.010438s
Port:600002, Path No:0, Time: 0.000013s
Port:600002, Compressed Path No:0, Time: 0.000016s
Port:300027, Path No:0, Time: 0.000043s
Port:300027, Compressed Path No:0, Time: 0.000006s
Port:500004, Path No:0, Time: 0.000027s
