['chic', 'kans', 'newy32aoa']
=== Loading transfer function from file work/Internet2/chic.tf ===
=== Transfer function loaded from file work/Internet2/chic.tf ===
=== Loading transfer function from file work/Internet2/kans.tf ===
=== Transfer function loaded from file work/Internet2/kans.tf ===
=== Loading transfer function from file work/Internet2/newy32aoa.tf ===
=== Transfer function loaded from file work/Internet2/newy32aoa.tf ===
=== Loading transfer function from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo81/backbone_topology.tf ===
=== Transfer function loaded from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo81/backbone_topology.tf ===
Total Rules: 26300
Total Links: 10
Total Length: 345
New Length: 138
Port:100019, Path No:0, Time: 0.000145s
Port:100019, Compressed Path No:0, Time: 0.000033s
Port:900038, Path No:0, Time: 0.000004s
Port:900038, Compressed Path No:0, Time: 0.000004s
Port:400030, Path No:0, Time: 0.000003s
Port:400030, Compressed Path No:0, Time: 0.000003s
Port:200034, Path No:0, Time: 0.000044s
Port:200034, Compressed Path No:0, Time: 0.000004s
Port:900048, Path No:0, Time: 0.000003s
Port:900048, Compressed Path No:0, Time: 0.000002s
Port:900029, Path No:0, Time: 0.000002s
Port:900029, Compressed Path No:0, Time: 0.000005s
Port:600008, Path No:0, Time: 0.000004s
Port:600008, Compressed Path No:0, Time: 0.000004s
Port:500006, Path No:0, Time: 0.000003s
Port:500006, Compressed Path No:0, Time: 0.000002s
Port:800018, Path No:0, Time: 0.000002s
Port:800018, Compressed Path No:0, Time: 0.000002s
Port:400025, Path No:0, Time: 0.000002s
Port:400025, Compressed Path No:0, Time: 0.000002s
Port:200013, Path No:0, Time: 0.000019s
Port:200013, Compressed Path No:0, Time: 0.000003s
Port:800028, Path No:0, Time: 0.000003s
Port:800028, Compressed Path No:0, Time: 0.000002s
Port:500030, Path No:0, Time: 0.000002s
Port:500030, Compressed Path No:0, Time: 0.000002s
Port:500018, Path No:0, Time: 0.000002s
Port:500018, Compressed Path No:0, Time: 0.000002s
Port:900025, Path No:0, Time: 0.000004s
Port:900025, Compressed Path No:0, Time: 0.000003s
Port:900028, Path No:0, Time: 0.000002s
Port:900028, Compressed Path No:0, Time: 0.000003s
Port:400017, Path No:0, Time: 0.000002s
Port:400017, Compressed Path No:0, Time: 0.000002s
Port:600034, Path No:0, Time: 0.000003s
Port:600034, Compressed Path No:0, Time: 0.000008s
Port:300046, Path No:0, Time: 0.000039s
Port:300046, Compressed Path No:0, Time: 0.000005s
Port:400005, Path No:0, Time: 0.000004s
Port:400005, Compressed Path No:0, Time: 0.000003s
Port:900030, Path No:0, Time: 0.000003s
