['chic', 'kans', 'salt']
=== Loading transfer function from file work/Internet2/chic.tf ===
=== Transfer function loaded from file work/Internet2/chic.tf ===
=== Loading transfer function from file work/Internet2/kans.tf ===
=== Transfer function loaded from file work/Internet2/kans.tf ===
=== Loading transfer function from file work/Internet2/salt.tf ===
=== Transfer function loaded from file work/Internet2/salt.tf ===
=== Loading transfer function from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo82/backbone_topology.tf ===
=== Transfer function loaded from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo82/backbone_topology.tf ===
Total Rules: 25804
Total Links: 10
Total Length: 345
New Length: 138
Port:700012, Path No:0, Time: 0.000050s
Port:700012, Compressed Path No:0, Time: 0.000034s
Port:600024, Path No:0, Time: 0.000004s
Port:600024, Compressed Path No:0, Time: 0.000004s
Port:100031, Path No:0, Time: 0.000098s
Port:100031, Compressed Path No:0, Time: 0.000005s
Port:500017, Path No:0, Time: 0.000003s
Port:500017, Compressed Path No:0, Time: 0.000003s
Port:700003, Path No:0, Time: 0.000003s
Port:700003, Compressed Path No:0, Time: 0.000003s
Port:900028, Path No:0, Time: 0.000002s
Port:900028, Compressed Path No:0, Time: 0.000002s
Port:200040, Path No:0, Time: 0.000044s
Port:200040, Compressed Path No:0, Time: 0.000004s
Port:300037, Path No:0, Time: 0.000029s
Port:300037, Compressed Path No:0, Time: 0.000005s
Port:900045, Path No:0, Time: 0.000004s
Port:900045, Compressed Path No:0, Time: 0.000003s
Port:600037, Path No:0, Time: 0.000002s
Port:600037, Compressed Path No:0, Time: 0.000003s
Port:600007, Path No:0, Time: 0.000002s
Port:600007, Compressed Path No:0, Time: 0.000002s
Port:600035, Path No:0, Time: 0.000002s
Port:600035, Compressed Path No:0, Time: 0.000002s
Port:200032, Path No:0, Time: 0.000019s
Port:200032, Compressed Path No:0, Time: 0.000003s
Port:400002, Path No:0, Time: 0.000002s
Port:400002, Compressed Path No:0, Time: 0.000002s
Port:700001, Path No:0, Time: 0.000002s
Port:700001, Compressed Path No:0, Time: 0.000002s
Port:200028, Path No:0, Time: 0.000015s
Port:200028, Compressed Path No:0, Time: 0.000003s
Port:900015, Path No:0, Time: 0.000002s
Port:900015, Compressed Path No:0, Time: 0.000002s
Port:800021, Path No:0, Time: 0.000002s
Port:800021, Compressed Path No:0, Time: 0.000002s
Port:800026, Path No:0, Time: 0.000002s
Port:800026, Compressed Path No:0, Time: 0.000003s
Port:200033, Path No:0, Time: 0.000014s
Port:200033, Compressed Path No:0, Time: 0.000002s
Port:400019, Path No:0, Time: 0.000002s
