['atla', 'chic', 'losa', 'wash']
=== Loading transfer function from file work/Internet2/atla.tf ===
=== Transfer function loaded from file work/Internet2/atla.tf ===
=== Loading transfer function from file work/Internet2/chic.tf ===
=== Transfer function loaded from file work/Internet2/chic.tf ===
=== Loading transfer function from file work/Internet2/losa.tf ===
=== Transfer function loaded from file work/Internet2/losa.tf ===
=== Loading transfer function from file work/Internet2/wash.tf ===
=== Transfer function loaded from file work/Internet2/wash.tf ===
=== Loading transfer function from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo144/backbone_topology.tf ===
=== Transfer function loaded from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo144/backbone_topology.tf ===
Total Rules: 34921
Total Links: 14
Total Length: 345
New Length: 241
Port:900049, Path No:0, Time: 0.000056s
Port:900049, Compressed Path No:0, Time: 0.000051s
Port:900027, Path No:0, Time: 0.000005s
Port:900027, Compressed Path No:0, Time: 0.000005s
Port:900001, Path No:0, Time: 0.000004s
Port:900001, Compressed Path No:0, Time: 0.000004s
Port:700009, Path No:0, Time: 0.000003s
Port:700009, Compressed Path No:0, Time: 0.000003s
Port:200006, Path No:0, Time: 0.000118s
Port:200006, Compressed Path No:0, Time: 0.000005s
Port:900018, Path No:0, Time: 0.000003s
Port:900018, Compressed Path No:0, Time: 0.000003s
Port:900045, Path No:0, Time: 0.000002s
Port:900045, Compressed Path No:0, Time: 0.000002s
Port:800018, Path No:0, Time: 0.000003s
Port:800018, Compressed Path No:0, Time: 0.000002s
Port:900028, Path No:0, Time: 0.000003s
Port:900028, Compressed Path No:0, Time: 0.000003s
Port:800014, Path No:0, Time: 0.000003s
Port:800014, Compressed Path No:0, Time: 0.000003s
Port:900048, Path No:0, Time: 0.000002s
Port:900048, Compressed Path No:0, Time: 0.000002s
Port:700012, Path No:0, Time: 0.000002s
Port:700012, Compressed Path No:0, Time: 0.000002s
Port:600007, Path No:0, Time: 0.000002s
Port:600007, Compressed Path No:0, Time: 0.000002s
Port:900037, Path No:0, Time: 0.000002s
Port:900037, Compressed Path No:0, Time: 0.000002s
Port:600020, Path No:0, Time: 0.000003s
Port:600020, Compressed Path No:0, Time: 0.000002s
Port:900050, Path No:0, Time: 0.000002s
Port:900050, Compressed Path No:0, Time: 0.000002s
Port:300029, Path No:0, Time: 0.000045s
Port:300029, Compressed Path No:0, Time: 0.000005s
Port:400020, Path No:0, Time: 0.000041s
Port:400020, Compressed Path No:0, Time: 0.000004s
Port:100013, Path No:0, Time: 0.000027s
Port:100013, Compressed Path No:0, Time: 0.000004s
Port:700006, Path No:0, Time: 0.000003s
Port:700006, Compressed Path No:0, Time: 0.000002s
Port:600022, Path No:0, Time: 0.000002s
Port:600022, Compressed Path No:0, Time: 0.000003s
Port:200009, Path No:10132, Time: 1.136838s
Port:200009, Compressed Path No:4943, Time: 0.034081s
Port:200028, Path No:9916, Time: 1.107429s
Port:200028, Compressed Path No:4838, Time: 0.036810s
Port:700014, Path No:0, Time: 0.000014s
Port:700014, Compressed Path No:0, Time: 0.000014s
Port:200013, Path No:0, Time: 0.000041s
Port:200013, Compressed Path No:0, Time: 0.000005s
Port:700024, Path No:0, Time: 0.000005s
Port:700024, Compressed Path No:0, Time: 0.000004s
Port:600017, Path No:0, Time: 0.000004s
Port:600017, Compressed Path No:0, Time: 0.000003s
Port:800004, Path No:0, Time: 0.000003s
Port:800004, Compressed Path No:0, Time: 0.000003s
Port:100021, Path No:5042, Time: 0.383553s
Port:100021, Compressed Path No:5042, Time: 0.011228s
Port:900017, Path No:0, Time: 0.000011s
Port:900017, Compressed Path No:0, Time: 0.000016s
Port:300012, Path No:0, Time: 0.000034s
Port:300012, Compressed Path No:0, Time: 0.000004s
Port:100028, Path No:16890, Time: 2.423032s
Port:100028, Compressed Path No:7776, Time: 0.064288s
Port:200016, Path No:0, Time: 0.000081s
Port:200016, Compressed Path No:0, Time: 0.000016s
Port:300001, Path No:0, Time: 0.000026s
Port:300001, Compressed Path No:0, Time: 0.000005s
Port:200032, Path No:0, Time: 0.000019s
Port:200032, Compressed Path No:0, Time: 0.000004s
Port:500025, Path No:0, Time: 0.000004s
Port:500025, Compressed Path No:0, Time: 0.000003s
Port:900032, Path No:0, Time: 0.000003s
Port:900032, Compressed Path No:0, Time: 0.000003s
Port:100007, Path No:16890, Time: 2.434398s
Port:100007, Compressed Path No:7797, Time: 0.063336s
Port:100030, Path No:7402, Time: 1.984599s
Port:100030, Compressed Path No:3061, Time: 0.027295s
