['atla', 'losa', 'newy32aoa', 'seat', 'wash']
=== Loading transfer function from file work/Internet2/atla.tf ===
=== Transfer function loaded from file work/Internet2/atla.tf ===
=== Loading transfer function from file work/Internet2/losa.tf ===
=== Transfer function loaded from file work/Internet2/losa.tf ===
=== Loading transfer function from file work/Internet2/newy32aoa.tf ===
=== Transfer function loaded from file work/Internet2/newy32aoa.tf ===
=== Loading transfer function from file work/Internet2/seat.tf ===
=== Transfer function loaded from file work/Internet2/seat.tf ===
=== Loading transfer function from file work/Internet2/wash.tf ===
=== Transfer function loaded from file work/Internet2/wash.tf ===
=== Loading transfer function from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo323/backbone_topology.tf ===
=== Transfer function loaded from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo323/backbone_topology.tf ===
Total Rules: 43548
Total Links: 14
Total Length: 345
New Length: 241
Port:800024, Path No:0, Time: 0.000046s
Port:800024, Compressed Path No:0, Time: 0.000037s
Port:800001, Path No:0, Time: 0.000004s
Port:800001, Compressed Path No:0, Time: 0.000004s
Port:200037, Path No:0, Time: 0.000101s
Port:200037, Compressed Path No:0, Time: 0.000005s
Port:500010, Path No:0, Time: 0.000038s
Port:500010, Compressed Path No:0, Time: 0.000004s
Port:900026, Path No:0, Time: 0.000003s
Port:900026, Compressed Path No:0, Time: 0.000002s
Port:500032, Path No:0, Time: 0.000013s
Port:500032, Compressed Path No:0, Time: 0.000002s
Port:500007, Path No:0, Time: 0.000011s
Port:500007, Compressed Path No:0, Time: 0.000002s
Port:900050, Path No:0, Time: 0.000002s
Port:900050, Compressed Path No:0, Time: 0.000002s
Port:400009, Path No:0, Time: 0.000042s
Port:400009, Compressed Path No:0, Time: 0.000003s
Port:800017, Path No:0, Time: 0.000002s
Port:800017, Compressed Path No:0, Time: 0.000001s
Port:200024, Path No:0, Time: 0.000012s
Port:200024, Compressed Path No:0, Time: 0.000002s
Port:100021, Path No:4914, Time: 0.510060s
Port:100021, Compressed Path No:4914, Time: 0.012488s
Port:800031, Path No:0, Time: 0.000014s
Port:800031, Compressed Path No:0, Time: 0.000016s
Port:900007, Path No:0, Time: 0.000007s
Port:900007, Compressed Path No:0, Time: 0.000005s
Port:100005, Path No:0, Time: 0.000041s
Port:100005, Compressed Path No:0, Time: 0.000004s
Port:500027, Path No:0, Time: 0.000024s
Port:500027, Compressed Path No:0, Time: 0.000006s
Port:900032, Path No:0, Time: 0.000005s
Port:900032, Compressed Path No:0, Time: 0.000004s
Port:800018, Path No:0, Time: 0.000004s
Port:800018, Compressed Path No:0, Time: 0.000004s
Port:600028, Path No:0, Time: 0.000004s
Port:600028, Compressed Path No:0, Time: 0.000004s
Port:100011, Path No:0, Time: 0.000025s
Port:100011, Compressed Path No:0, Time: 0.000003s
Port:300039, Path No:0, Time: 0.000024s
Port:300039, Compressed Path No:0, Time: 0.000004s
Port:300050, Path No:0, Time: 0.000019s
Port:300050, Compressed Path No:0, Time: 0.000003s
Port:200010, Path No:0, Time: 0.000021s
Port:200010, Compressed Path No:0, Time: 0.000004s
Port:300020, Path No:0, Time: 0.000019s
Port:300020, Compressed Path No:0, Time: 0.000003s
Port:600007, Path No:0, Time: 0.000004s
Port:600007, Compressed Path No:0, Time: 0.000003s
