['atla', 'losa', 'salt']
=== Loading transfer function from file work/Internet2/atla.tf ===
=== Transfer function loaded from file work/Internet2/atla.tf ===
=== Loading transfer function from file work/Internet2/losa.tf ===
=== Transfer function loaded from file work/Internet2/losa.tf ===
=== Loading transfer function from file work/Internet2/salt.tf ===
=== Transfer function loaded from file work/Internet2/salt.tf ===
=== Loading transfer function from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo65/backbone_topology.tf ===
=== Transfer function loaded from file /home/mininet/SDN_Project2/SDN_Project/atpg/work/Internet2/combo65/backbone_topology.tf ===
Total Rules: 25670
Total Links: 4
Total Length: 345
New Length: 241
Port:900047, Path No:0, Time: 0.000039s
Port:900047, Compressed Path No:0, Time: 0.000054s
Port:300022, Path No:0, Time: 0.000136s
Port:300022, Compressed Path No:0, Time: 0.000008s
Port:300018, Path No:0, Time: 0.000026s
Port:300018, Compressed Path No:0, Time: 0.000005s
Port:500033, Path No:0, Time: 0.000005s
Port:500033, Compressed Path No:0, Time: 0.000004s
Port:400025, Path No:0, Time: 0.000004s
Port:400025, Compressed Path No:0, Time: 0.000004s
Port:200017, Path No:0, Time: 0.000063s
Port:200017, Compressed Path No:0, Time: 0.000006s
Port:300006, Path No:0, Time: 0.000022s
Port:300006, Compressed Path No:0, Time: 0.000004s
Port:600021, Path No:0, Time: 0.000005s
Port:600021, Compressed Path No:0, Time: 0.000004s
Port:100017, Path No:8647, Time: 0.493817s
Port:100017, Compressed Path No:8647, Time: 0.018475s
Port:700018, Path No:0, Time: 0.000012s
Port:700018, Compressed Path No:0, Time: 0.000012s
Port:300033, Path No:0, Time: 0.000032s
Port:300033, Compressed Path No:0, Time: 0.000004s
Port:200041, Path No:0, Time: 0.000019s
Port:200041, Compressed Path No:0, Time: 0.000003s
Port:700016, Path No:0, Time: 0.000004s
Port:700016, Compressed Path No:0, Time: 0.000002s
Port:400020, Path No:0, Time: 0.000003s
Port:400020, Compressed Path No:0, Time: 0.000002s
Port:600014, Path No:0, Time: 0.000004s
Port:600014, Compressed Path No:0, Time: 0.000004s
Port:800007, Path No:0, Time: 0.000002s
Port:800007, Compressed Path No:0, Time: 0.000007s
Port:700022, Path No:0, Time: 0.000005s
Port:700022, Compressed Path No:0, Time: 0.000003s
Port:300015, Path No:0, Time: 0.000044s
Port:300015, Compressed Path No:0, Time: 0.000006s
Port:200009, Path No:0, Time: 0.000025s
Port:200009, Compressed Path No:0, Time: 0.000005s
Port:600024, Path No:0, Time: 0.000003s
Port:600024, Compressed Path No:0, Time: 0.000003s
Port:300012, Path No:0, Time: 0.000015s
Port:300012, Compressed Path No:0, Time: 0.000003s
Port:900046, Path No:0, Time: 0.000003s
Port:900046, Compressed Path No:0, Time: 0.000002s
Port:300046, Path No:0, Time: 0.000014s
Port:300046, Compressed Path No:0, Time: 0.000002s
Port:900010, Path No:0, Time: 0.000003s
Port:900010, Compressed Path No:0, Time: 0.000003s
Port:600020, Path No:0, Time: 0.000002s
Port:600020, Compressed Path No:0, Time: 0.000003s
Port:300009, Path No:0, Time: 0.000015s
Port:300009, Compressed Path No:0, Time: 0.000003s
Port:300002, Path No:0, Time: 0.000037s
Port:300002, Compressed Path No:0, Time: 0.000010s
Port:200046, Path No:0, Time: 0.000016s
Port:200046, Compressed Path No:0, Time: 0.000003s
Port:700014, Path No:0, Time: 0.000003s
Port:700014, Compressed Path No:0, Time: 0.000002s
Port:600005, Path No:0, Time: 0.000002s
Port:600005, Compressed Path No:0, Time: 0.000002s
Port:700017, Path No:0, Time: 0.000002s
Port:700017, Compressed Path No:0, Time: 0.000003s
Port:800037, Path No:0, Time: 0.000002s
Port:800037, Compressed Path No:0, Time: 0.000002s
Port:600038, Path No:0, Time: 0.000002s
Port:600038, Compressed Path No:0, Time: 0.000001s
Port:900050, Path No:0, Time: 0.000002s
Port:900050, Compressed Path No:0, Time: 0.000002s
Port:900042, Path No:0, Time: 0.000002s
Port:900042, Compressed Path No:0, Time: 0.000002s
Port:600016, Path No:0, Time: 0.000006s
Port:600016, Compressed Path No:0, Time: 0.000006s
Port:400001, Path No:0, Time: 0.000002s
Port:400001, ComprePort:900014, Path No:0, Time: 0.000012s
Port:900014, Compressed Path No:0, Time: 0.000015s
Port:300036, Path No:0, Time: 0.000043s
Port:300036, Compressed Path No:0, Time: 0.000006s
Port:800006, Path No:0, Time: 0.000005s
Port:800006, Compressed Path No:0, Time: 0.000004s
Port:600009, Path No:0, Time: 0.000009s
Port:600009, Compressed Path No:0, Time: 0.000010s
Port:200034, Path No:0, Time: 0.000029s
Port:200034, Compressed Path No:0, Time: 0.000004s
Port:900020, Path No:0, Time: 0.000003s
Port:900020, Compressed Path No:0, Time: 0.000002s
Port:200022, Path No:0, Time: 0.000015s
Port:200022, Compressed Path No:0, Time: 0.000003s
Port:700024, Path No:0, Time: 0.000000s
Port:700024, Compressed Path No:0, Time: 0.000000s
Port:600031, Path No:0, Time: 0.000003s
Port:600031, Compressed Path No:0, Time: 0.000002s
Port:800005, Path No:0, Time: 0.000002s
Port:800005, Compressed Path No:0, Time: 0.000002s
Port:900004, Path No:0, Time: 0.000002s
Port:900004, Compressed Path No:0, Time: 0.000002s
Port:400014, Path No:0, Time: 0.000002s
Port:400014, Compressed Path No:0, Time: 0.000002s
Port:300026, Path No:0, Time: 0.000017s
Port:300026, Compressed Path No:0, Time: 0.000002s
Port:400002, Path No:0, Time: 0.000002s
Port:400002, Compressed Path No:0, Time: 0.000002s
Port:300010, Path No:0, Time: 0.000025s
Port:300010, Compressed Path No:0, Time: 0.000005s
Port:200047, Path No:0, Time: 0.000019s
Port:200047, Compressed Path No:0, Time: 0.000004s
Port:800032, Path No:0, Time: 0.000003s
Port:800032, Compressed Path No:0, Time: 0.000003s
Port:800002, Path No:0, Time: 0.000003s
Port:800002, Compressed Path No:0, Time: 0.000003s
Port:300034, Path No:0, Time: 0.000017s
Port:300034, Compressed Path No:0, Time: 0.000003s
Port:400024, Path No:0, Time: 0.000003s
Port:400024, Compressed Path No:0, Time: 0.000002s
Port:700005, Path No:0, Time: 0.000003s
Port:700005, Compressed Path No:0, Time: 0.000002s
Port:500030, Path No:0, Time: 0.000002s
Port:500030, Compressed Path No:0, Time: 0.000003s
Port:300008, Path No:0, Time: 0.000016s
Port:300008, Compressed Path No:0, Time: 0.000003s
